Row,A,B,C,D,E,F,G,H,J,K,L,M,N,P,R,T
1,GND,M_D1,,,,,,,,,,,Y4,Y3,,GND
2,SD_A4,M_D0,,GND,,,,,,,,,GND,Y2,,SD_A3
3,SD_A5,M_CLK,,,,,,,,,,,Y5,PCLK,,SD_A2
4,SD_A6,M_CMD,,,,,,,,,,,Y6,Y8,,SD_A1
5,SD_A7,M_D2,,,,,,,,,,,Y7,Y9,,GND
6,SD_A8,M_D3,,,,VCCIO,VCC,VCCIO,VCCIO,GND,VCCIO,,MCLK,VSYNC,,SD_A0
7,SD_A9,,,,,VCCIO,VCC,VCCIO,VCCIO,GND,VCCIO,,HREF,,,SD_A10
8,SD_A11,,,,,GND,GND,GND,GND,GND,VCC,DOUT,,,SSPI_CS#,DIN
9,SD_A12,,,,,GND,VCC,GND,GND,GND,VCC,,CCLK,DONE,PROGRAMN,INITN
10,,,,,,VCCIO,GND,GND,GND,GND,VCC,,,,,
11,,,,,,VCCIO,VCCAUX,VCCIO,VCCIO,VCCIO,VCCIO,,,,,
12,,,,,,,,,,SD_BA0,SD_BA1,,,,,GND
13,,,,,,,,,,,,,SD_WE_N,,SD_CAS_N,
14,,,,SD_DQM1,,,,,,,,SD_DQ4,,,,SD_RAS_N
15,,,,GND,SD_DQ9,SD_DQ11,SD_DQ13,SD_DQ15,SD_CLK,,SD_DQ0,SD_DQ3,GND,,SD_CS_N,SD_DQM0
16,GND,,,SD_DQ8,SD_DQ10,SD_DQ12,SD_DQ14,GND,SD_DQ7,SD_DQ2,,SD_DQ1,,SD_DQ5,SD_DQ6,GND
