image,x,y,score,hit
orange_pos_001721_20260510_221828_918.png,0,0,0.674,0
orange_pos_001721_20260510_221828_918.png,20,0,0.674,0
orange_pos_001721_20260510_221828_918.png,40,0,0.674,0
orange_pos_001721_20260510_221828_918.png,60,0,0.674,0
orange_pos_001721_20260510_221828_918.png,80,0,0.674,0
orange_pos_001721_20260510_221828_918.png,100,0,0.674,0
orange_pos_001721_20260510_221828_918.png,120,0,0.674,0
orange_pos_001721_20260510_221828_918.png,140,0,0.674,0
orange_pos_001721_20260510_221828_918.png,0,20,0.674,0
orange_pos_001721_20260510_221828_918.png,20,20,0.674,0
orange_pos_001721_20260510_221828_918.png,40,20,0.674,0
orange_pos_001721_20260510_221828_918.png,60,20,0.674,0
orange_pos_001721_20260510_221828_918.png,80,20,0.674,0
orange_pos_001721_20260510_221828_918.png,100,20,0.674,0
orange_pos_001721_20260510_221828_918.png,120,20,0.674,0
orange_pos_001721_20260510_221828_918.png,140,20,0.674,0
orange_pos_001721_20260510_221828_918.png,0,40,0.674,0
orange_pos_001721_20260510_221828_918.png,20,40,0.674,0
orange_pos_001721_20260510_221828_918.png,40,40,0.674,0
orange_pos_001721_20260510_221828_918.png,60,40,0.674,0
orange_pos_001721_20260510_221828_918.png,80,40,0.674,0
orange_pos_001721_20260510_221828_918.png,100,40,0.674,0
orange_pos_001721_20260510_221828_918.png,120,40,0.674,0
orange_pos_001721_20260510_221828_918.png,140,40,0.674,0
orange_pos_001721_20260510_221828_918.png,0,60,0.674,0
orange_pos_001721_20260510_221828_918.png,20,60,0.674,0
orange_pos_001721_20260510_221828_918.png,40,60,0.674,0
orange_pos_001721_20260510_221828_918.png,60,60,0.674,0
orange_pos_001721_20260510_221828_918.png,80,60,0.674,0
orange_pos_001721_20260510_221828_918.png,100,60,0.674,0
orange_pos_001721_20260510_221828_918.png,120,60,0.674,0
orange_pos_001721_20260510_221828_918.png,140,60,0.674,0
orange_pos_001721_20260510_221828_918.png,0,80,0.674,0
orange_pos_001721_20260510_221828_918.png,20,80,0.674,0
orange_pos_001721_20260510_221828_918.png,40,80,0.674,0
orange_pos_001721_20260510_221828_918.png,60,80,0.674,0
orange_pos_001721_20260510_221828_918.png,80,80,0.674,0
orange_pos_001721_20260510_221828_918.png,100,80,0.674,0
orange_pos_001721_20260510_221828_918.png,120,80,0.674,0
orange_pos_001721_20260510_221828_918.png,140,80,0.674,0
orange_pos_001721_20260510_221828_918.png,0,100,0.674,0
orange_pos_001721_20260510_221828_918.png,20,100,0.674,0
orange_pos_001721_20260510_221828_918.png,40,100,0.674,0
orange_pos_001721_20260510_221828_918.png,60,100,0.674,0
orange_pos_001721_20260510_221828_918.png,80,100,0.674,0
orange_pos_001721_20260510_221828_918.png,100,100,0.674,0
orange_pos_001721_20260510_221828_918.png,120,100,0.674,0
orange_pos_001721_20260510_221828_918.png,140,100,0.674,0
orange_pos_001722_20260510_221830_889.png,0,0,4.515,0
orange_pos_001722_20260510_221830_889.png,20,0,4.113,0
orange_pos_001722_20260510_221830_889.png,40,0,11.493,0
orange_pos_001722_20260510_221830_889.png,60,0,5.672,0
orange_pos_001722_20260510_221830_889.png,80,0,0.675,0
orange_pos_001722_20260510_221830_889.png,100,0,0.674,0
orange_pos_001722_20260510_221830_889.png,120,0,0.674,0
orange_pos_001722_20260510_221830_889.png,140,0,1.155,0
orange_pos_001722_20260510_221830_889.png,0,20,6.718,0
orange_pos_001722_20260510_221830_889.png,20,20,4.513,0
orange_pos_001722_20260510_221830_889.png,40,20,6.126,0
orange_pos_001722_20260510_221830_889.png,60,20,1.214,0
orange_pos_001722_20260510_221830_889.png,80,20,0.674,0
orange_pos_001722_20260510_221830_889.png,100,20,0.674,0
orange_pos_001722_20260510_221830_889.png,120,20,0.674,0
orange_pos_001722_20260510_221830_889.png,140,20,0.674,0
orange_pos_001722_20260510_221830_889.png,0,40,7.776,0
orange_pos_001722_20260510_221830_889.png,20,40,7.300,0
orange_pos_001722_20260510_221830_889.png,40,40,5.427,0
orange_pos_001722_20260510_221830_889.png,60,40,0.784,0
orange_pos_001722_20260510_221830_889.png,80,40,0.674,0
orange_pos_001722_20260510_221830_889.png,100,40,0.674,0
orange_pos_001722_20260510_221830_889.png,120,40,0.674,0
orange_pos_001722_20260510_221830_889.png,140,40,1.018,0
orange_pos_001722_20260510_221830_889.png,0,60,6.288,0
orange_pos_001722_20260510_221830_889.png,20,60,5.310,0
orange_pos_001722_20260510_221830_889.png,40,60,6.158,0
orange_pos_001722_20260510_221830_889.png,60,60,0.875,0
orange_pos_001722_20260510_221830_889.png,80,60,0.674,0
orange_pos_001722_20260510_221830_889.png,100,60,0.674,0
orange_pos_001722_20260510_221830_889.png,120,60,0.674,0
orange_pos_001722_20260510_221830_889.png,140,60,1.726,0
orange_pos_001722_20260510_221830_889.png,0,80,6.370,0
orange_pos_001722_20260510_221830_889.png,20,80,5.763,0
orange_pos_001722_20260510_221830_889.png,40,80,9.273,0
orange_pos_001722_20260510_221830_889.png,60,80,3.560,0
orange_pos_001722_20260510_221830_889.png,80,80,1.557,0
orange_pos_001722_20260510_221830_889.png,100,80,1.024,0
orange_pos_001722_20260510_221830_889.png,120,80,1.249,0
orange_pos_001722_20260510_221830_889.png,140,80,4.821,0
orange_pos_001722_20260510_221830_889.png,0,100,2.006,0
orange_pos_001722_20260510_221830_889.png,20,100,6.687,0
orange_pos_001722_20260510_221830_889.png,40,100,17.238,0
orange_pos_001722_20260510_221830_889.png,60,100,11.054,0
orange_pos_001722_20260510_221830_889.png,80,100,6.894,0
orange_pos_001722_20260510_221830_889.png,100,100,5.862,0
orange_pos_001722_20260510_221830_889.png,120,100,6.539,0
orange_pos_001722_20260510_221830_889.png,140,100,9.545,0
orange_pos_001723_20260510_221831_276.png,0,0,0.692,0
orange_pos_001723_20260510_221831_276.png,20,0,0.682,0
