image,x1,y1,x2,y2,label
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,128,112,178,164,orange
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,139,115,198,170,orange
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,94,166,153,215,orange
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,92,177,149,216,orange
orange_pos_clean_01/orange_pos_003156_20260511_163851_743.png,86,176,151,217,orange
orange_pos_clean_01/orange_pos_003157_20260511_163853_468.png,112,65,174,125,orange
orange_pos_clean_01/orange_pos_003158_20260511_163855_989.png,211,110,271,160,orange
orange_pos_clean_01/orange_pos_003161_20260511_163858_210.png,141,181,201,219,orange
orange_pos_clean_01/orange_pos_003162_20260511_163858_739.png,140,181,201,216,orange
orange_pos_clean_01/orange_pos_003163_20260511_163900_017.png,63,145,123,204,orange
orange_pos_clean_01/orange_pos_003166_20260511_163900_538.png,57,138,116,196,orange
orange_pos_clean_01/orange_pos_003167_20260511_163902_435.png,104,44,170,109,orange
orange_pos_clean_01/orange_pos_003169_20260511_163902_909.png,109,42,179,107,orange
orange_pos_clean_01/orange_pos_003170_20260511_163904_461.png,155,143,212,195,orange
orange_pos_clean_01/orange_pos_003172_20260511_163905_084.png,149,141,207,193,orange
orange_pos_clean_01/orange_pos_003173_20260511_163906_615.png,125,106,170,143,orange
orange_pos_clean_01/orange_pos_003176_20260511_163907_106.png,132,82,177,122,orange
orange_pos_clean_01/orange_pos_003178_20260511_163909_049.png,137,1,185,31,orange
orange_pos_clean_01/orange_pos_003180_20260511_163909_558.png,130,1,175,19,orange
orange_pos_clean_01/orange_pos_003181_20260511_163911_327.png,105,73,149,116,orange
orange_pos_clean_01/orange_pos_003182_20260511_163911_817.png,100,81,143,122,orange
orange_pos_clean_01/orange_pos_003184_20260511_163913_574.png,93,167,136,206,orange
orange_pos_clean_01/orange_pos_003186_20260511_163914_034.png,95,173,140,211,orange
orange_pos_clean_01/orange_pos_003190_20260511_163916_004.png,162,193,209,220,orange
orange_pos_clean_01/orange_pos_003191_20260511_163917_900.png,206,183,246,216,orange
orange_pos_clean_01/orange_pos_003192_20260511_163918_479.png,205,180,248,215,orange
orange_pos_clean_01/orange_pos_003193_20260511_163920_089.png,198,116,239,153,orange
orange_pos_clean_01/orange_pos_003196_20260511_163920_647.png,196,103,235,144,orange
orange_pos_clean_01/orange_pos_003197_20260511_163922_331.png,177,37,219,74,orange
orange_pos_clean_01/orange_pos_003199_20260511_163922_917.png,172,22,214,61,orange
orange_pos_clean_01/orange_pos_003200_20260511_163924_482.png,116,35,161,75,orange
orange_pos_clean_01/orange_pos_003202_20260511_163924_961.png,113,35,161,81,orange
orange_pos_clean_01/orange_pos_003204_20260511_163927_128.png,111,160,154,202,orange
orange_pos_clean_01/orange_pos_003205_20260511_163929_044.png,162,174,207,216,orange
orange_pos_clean_01/orange_pos_003207_20260511_163929_507.png,167,166,209,205,orange
orange_pos_clean_01/orange_pos_003208_20260511_163931_380.png,157,132,213,188,orange
orange_pos_clean_01/orange_pos_003209_20260511_163931_930.png,154,134,212,189,orange
orange_pos_clean_01/orange_pos_003211_20260511_163933_524.png,173,0,229,26,orange
orange_pos_clean_01/orange_pos_003213_20260511_163934_003.png,173,0,230,18,orange
orange_pos_clean_01/orange_pos_003216_20260511_163936_014.png,82,70,156,132,orange
orange_pos_clean_01/orange_pos_003217_20260511_163936_530.png,84,69,156,136,orange
orange_pos_clean_01/orange_pos_003218_20260511_163937_795.png,100,159,176,217,orange
orange_pos_clean_01/orange_pos_003221_20260511_163938_344.png,120,166,193,215,orange
