index,frame,timestamp,elapsed_s,width,height,path
1,3146,20260511_163846_352,0.359,160,120,data/frames/orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png
2,3148,20260511_163846_840,0.891,160,120,data/frames/orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png
3,3150,20260511_163847_309,1.344,160,120,data/frames/orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png
4,3151,20260511_163849_036,3.000,160,120,data/frames/orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png
5,3153,20260511_163849_458,3.453,160,120,data/frames/orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png
6,3154,20260511_163851_006,4.938,160,120,data/frames/orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png
7,3155,20260511_163851_352,5.297,160,120,data/frames/orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png
8,3156,20260511_163851_743,5.750,160,120,data/frames/orange_pos_clean_01/orange_pos_003156_20260511_163851_743.png
9,3157,20260511_163853_468,7.453,160,120,data/frames/orange_pos_clean_01/orange_pos_003157_20260511_163853_468.png
10,3158,20260511_163855_989,9.969,160,120,data/frames/orange_pos_clean_01/orange_pos_003158_20260511_163855_989.png
11,3161,20260511_163858_210,12.219,160,120,data/frames/orange_pos_clean_01/orange_pos_003161_20260511_163858_210.png
12,3162,20260511_163858_739,12.875,160,120,data/frames/orange_pos_clean_01/orange_pos_003162_20260511_163858_739.png
13,3163,20260511_163900_017,14.078,160,120,data/frames/orange_pos_clean_01/orange_pos_003163_20260511_163900_017.png
14,3166,20260511_163900_538,14.516,160,120,data/frames/orange_pos_clean_01/orange_pos_003166_20260511_163900_538.png
15,3167,20260511_163902_435,16.484,160,120,data/frames/orange_pos_clean_01/orange_pos_003167_20260511_163902_435.png
16,3169,20260511_163902_909,16.938,160,120,data/frames/orange_pos_clean_01/orange_pos_003169_20260511_163902_909.png
17,3170,20260511_163904_461,18.594,160,120,data/frames/orange_pos_clean_01/orange_pos_003170_20260511_163904_461.png
18,3172,20260511_163905_084,19.078,160,120,data/frames/orange_pos_clean_01/orange_pos_003172_20260511_163905_084.png
19,3173,20260511_163906_615,20.609,160,120,data/frames/orange_pos_clean_01/orange_pos_003173_20260511_163906_615.png
20,3176,20260511_163907_106,21.125,160,120,data/frames/orange_pos_clean_01/orange_pos_003176_20260511_163907_106.png
21,3178,20260511_163909_049,23.078,160,120,data/frames/orange_pos_clean_01/orange_pos_003178_20260511_163909_049.png
22,3180,20260511_163909_558,23.547,160,120,data/frames/orange_pos_clean_01/orange_pos_003180_20260511_163909_558.png
23,3181,20260511_163911_327,25.359,160,120,data/frames/orange_pos_clean_01/orange_pos_003181_20260511_163911_327.png
24,3182,20260511_163911_817,25.891,160,120,data/frames/orange_pos_clean_01/orange_pos_003182_20260511_163911_817.png
25,3184,20260511_163913_574,27.594,160,120,data/frames/orange_pos_clean_01/orange_pos_003184_20260511_163913_574.png
26,3186,20260511_163914_034,28.141,160,120,data/frames/orange_pos_clean_01/orange_pos_003186_20260511_163914_034.png
27,3187,20260511_163915_582,29.547,160,120,data/frames/orange_pos_clean_01/orange_pos_003187_20260511_163915_582.png
28,3190,20260511_163916_004,30.000,160,120,data/frames/orange_pos_clean_01/orange_pos_003190_20260511_163916_004.png
29,3191,20260511_163917_900,31.984,160,120,data/frames/orange_pos_clean_01/orange_pos_003191_20260511_163917_900.png
30,3192,20260511_163918_479,32.656,160,120,data/frames/orange_pos_clean_01/orange_pos_003192_20260511_163918_479.png
31,3193,20260511_163920_089,34.188,160,120,data/frames/orange_pos_clean_01/orange_pos_003193_20260511_163920_089.png
32,3196,20260511_163920_647,34.672,160,120,data/frames/orange_pos_clean_01/orange_pos_003196_20260511_163920_647.png
33,3197,20260511_163922_331,36.375,160,120,data/frames/orange_pos_clean_01/orange_pos_003197_20260511_163922_331.png
34,3199,20260511_163922_917,36.969,160,120,data/frames/orange_pos_clean_01/orange_pos_003199_20260511_163922_917.png
35,3200,20260511_163924_482,38.516,160,120,data/frames/orange_pos_clean_01/orange_pos_003200_20260511_163924_482.png
36,3202,20260511_163924_961,39.141,160,120,data/frames/orange_pos_clean_01/orange_pos_003202_20260511_163924_961.png
37,3204,20260511_163927_128,41.141,160,120,data/frames/orange_pos_clean_01/orange_pos_003204_20260511_163927_128.png
38,3205,20260511_163929_044,43.063,160,120,data/frames/orange_pos_clean_01/orange_pos_003205_20260511_163929_044.png
39,3207,20260511_163929_507,43.563,160,120,data/frames/orange_pos_clean_01/orange_pos_003207_20260511_163929_507.png
40,3208,20260511_163931_380,45.438,160,120,data/frames/orange_pos_clean_01/orange_pos_003208_20260511_163931_380.png
41,3209,20260511_163931_930,45.891,160,120,data/frames/orange_pos_clean_01/orange_pos_003209_20260511_163931_930.png
42,3211,20260511_163933_524,47.563,160,120,data/frames/orange_pos_clean_01/orange_pos_003211_20260511_163933_524.png
43,3213,20260511_163934_003,47.953,160,120,data/frames/orange_pos_clean_01/orange_pos_003213_20260511_163934_003.png
44,3214,20260511_163935_507,49.563,160,120,data/frames/orange_pos_clean_01/orange_pos_003214_20260511_163935_507.png
45,3216,20260511_163936_014,50.063,160,120,data/frames/orange_pos_clean_01/orange_pos_003216_20260511_163936_014.png
46,3217,20260511_163936_530,50.625,160,120,data/frames/orange_pos_clean_01/orange_pos_003217_20260511_163936_530.png
47,3218,20260511_163937_795,51.906,160,120,data/frames/orange_pos_clean_01/orange_pos_003218_20260511_163937_795.png
48,3221,20260511_163938_344,52.500,160,120,data/frames/orange_pos_clean_01/orange_pos_003221_20260511_163938_344.png
49,3223,20260511_163940_195,54.219,160,120,data/frames/orange_pos_clean_01/orange_pos_003223_20260511_163940_195.png
50,3224,20260511_163940_778,54.781,160,120,data/frames/orange_pos_clean_01/orange_pos_003224_20260511_163940_778.png
51,3225,20260511_163942_518,56.531,160,120,data/frames/orange_pos_clean_01/orange_pos_003225_20260511_163942_518.png
52,3226,20260511_163944_860,58.906,160,120,data/frames/orange_pos_clean_01/orange_pos_003226_20260511_163944_860.png
53,3227,20260511_163945_404,59.453,160,120,data/frames/orange_pos_clean_01/orange_pos_003227_20260511_163945_404.png
54,3229,20260511_163947_039,61.047,160,120,data/frames/orange_pos_clean_01/orange_pos_003229_20260511_163947_039.png
55,3230,20260511_163947_514,61.500,160,120,data/frames/orange_pos_clean_01/orange_pos_003230_20260511_163947_514.png
56,3231,20260511_163949_018,63.016,160,120,data/frames/orange_pos_clean_01/orange_pos_003231_20260511_163949_018.png
57,3232,20260511_163949_467,63.500,160,120,data/frames/orange_pos_clean_01/orange_pos_003232_20260511_163949_467.png
58,3233,20260511_163951_445,65.469,160,120,data/frames/orange_pos_clean_01/orange_pos_003233_20260511_163951_445.png
59,3234,20260511_163951_908,65.828,160,120,data/frames/orange_pos_clean_01/orange_pos_003234_20260511_163951_908.png
60,3235,20260511_163953_564,67.797,160,120,data/frames/orange_pos_clean_01/orange_pos_003235_20260511_163953_564.png
61,3237,20260511_163954_288,68.250,160,120,data/frames/orange_pos_clean_01/orange_pos_003237_20260511_163954_288.png
62,3239,20260511_163955_782,69.734,160,120,data/frames/orange_pos_clean_01/orange_pos_003239_20260511_163955_782.png
63,3240,20260511_163956_179,70.188,160,120,data/frames/orange_pos_clean_01/orange_pos_003240_20260511_163956_179.png
64,3241,20260511_163958_098,72.031,160,120,data/frames/orange_pos_clean_01/orange_pos_003241_20260511_163958_098.png
65,3243,20260511_163958_447,72.406,160,120,data/frames/orange_pos_clean_01/orange_pos_003243_20260511_163958_447.png
66,3244,20260511_164000_329,74.422,160,120,data/frames/orange_pos_clean_01/orange_pos_003244_20260511_164000_329.png
67,3245,20260511_164000_887,74.844,160,120,data/frames/orange_pos_clean_01/orange_pos_003245_20260511_164000_887.png
68,3246,20260511_164002_400,76.313,160,120,data/frames/orange_pos_clean_01/orange_pos_003246_20260511_164002_400.png
69,3247,20260511_164002_722,76.656,160,120,data/frames/orange_pos_clean_01/orange_pos_003247_20260511_164002_722.png
70,3248,20260511_164003_109,77.047,160,120,data/frames/orange_pos_clean_01/orange_pos_003248_20260511_164003_109.png
71,3249,20260511_164004_884,78.906,160,120,data/frames/orange_pos_clean_01/orange_pos_003249_20260511_164004_884.png
72,3250,20260511_164005_407,79.453,160,120,data/frames/orange_pos_clean_01/orange_pos_003250_20260511_164005_407.png
73,3251,20260511_164006_821,80.813,160,120,data/frames/orange_pos_clean_01/orange_pos_003251_20260511_164006_821.png
74,3253,20260511_164009_204,83.203,160,120,data/frames/orange_pos_clean_01/orange_pos_003253_20260511_164009_204.png
75,3255,20260511_164009_620,83.594,160,120,data/frames/orange_pos_clean_01/orange_pos_003255_20260511_164009_620.png
76,3256,20260511_164011_295,85.219,160,120,data/frames/orange_pos_clean_01/orange_pos_003256_20260511_164011_295.png
77,3258,20260511_164011_633,85.625,160,120,data/frames/orange_pos_clean_01/orange_pos_003258_20260511_164011_633.png
78,3259,20260511_164012_125,86.109,160,120,data/frames/orange_pos_clean_01/orange_pos_003259_20260511_164012_125.png
79,3260,20260511_164013_446,87.484,160,120,data/frames/orange_pos_clean_01/orange_pos_003260_20260511_164013_446.png
80,3262,20260511_164013_903,87.859,160,120,data/frames/orange_pos_clean_01/orange_pos_003262_20260511_164013_903.png
81,3263,20260511_164015_806,89.844,160,120,data/frames/orange_pos_clean_01/orange_pos_003263_20260511_164015_806.png
82,3264,20260511_164016_325,90.281,160,120,data/frames/orange_pos_clean_01/orange_pos_003264_20260511_164016_325.png
83,3265,20260511_164017_831,91.781,160,120,data/frames/orange_pos_clean_01/orange_pos_003265_20260511_164017_831.png
84,3266,20260511_164018_209,92.156,160,120,data/frames/orange_pos_clean_01/orange_pos_003266_20260511_164018_209.png
85,3267,20260511_164018_614,92.609,160,120,data/frames/orange_pos_clean_01/orange_pos_003267_20260511_164018_614.png
86,3268,20260511_164020_167,94.172,160,120,data/frames/orange_pos_clean_01/orange_pos_003268_20260511_164020_167.png
87,3269,20260511_164022_244,96.172,160,120,data/frames/orange_pos_clean_01/orange_pos_003269_20260511_164022_244.png
88,3270,20260511_164022_583,96.484,160,120,data/frames/orange_pos_clean_01/orange_pos_003270_20260511_164022_583.png
89,3271,20260511_164022_938,96.859,160,120,data/frames/orange_pos_clean_01/orange_pos_003271_20260511_164022_938.png
90,3272,20260511_164024_690,98.609,160,120,data/frames/orange_pos_clean_01/orange_pos_003272_20260511_164024_690.png
91,3274,20260511_164025_040,99.141,160,120,data/frames/orange_pos_clean_01/orange_pos_003274_20260511_164025_040.png
92,3275,20260511_164026_890,100.875,160,120,data/frames/orange_pos_clean_01/orange_pos_003275_20260511_164026_890.png
93,3278,20260511_164027_323,101.281,160,120,data/frames/orange_pos_clean_01/orange_pos_003278_20260511_164027_323.png
94,3279,20260511_164029_030,102.984,160,120,data/frames/orange_pos_clean_01/orange_pos_003279_20260511_164029_030.png
95,3282,20260511_164029_457,103.469,160,120,data/frames/orange_pos_clean_01/orange_pos_003282_20260511_164029_457.png
96,3284,20260511_164031_396,105.516,160,120,data/frames/orange_pos_clean_01/orange_pos_003284_20260511_164031_396.png
97,3285,20260511_164031_923,105.891,160,120,data/frames/orange_pos_clean_01/orange_pos_003285_20260511_164031_923.png
98,3286,20260511_164033_537,107.500,160,120,data/frames/orange_pos_clean_01/orange_pos_003286_20260511_164033_537.png
99,3287,20260511_164034_017,107.938,160,120,data/frames/orange_pos_clean_01/orange_pos_003287_20260511_164034_017.png
100,3288,20260511_164035_679,109.641,160,120,data/frames/orange_pos_clean_01/orange_pos_003288_20260511_164035_679.png
101,3289,20260511_164036_094,110.125,160,120,data/frames/orange_pos_clean_01/orange_pos_003289_20260511_164036_094.png
102,3290,20260511_164036_554,110.531,160,120,data/frames/orange_pos_clean_01/orange_pos_003290_20260511_164036_554.png
103,3292,20260511_164038_066,112.141,160,120,data/frames/orange_pos_clean_01/orange_pos_003292_20260511_164038_066.png
104,3294,20260511_164038_574,112.563,160,120,data/frames/orange_pos_clean_01/orange_pos_003294_20260511_164038_574.png
105,3295,20260511_164040_393,114.406,160,120,data/frames/orange_pos_clean_01/orange_pos_003295_20260511_164040_393.png
106,3296,20260511_164041_016,115.016,160,120,data/frames/orange_pos_clean_01/orange_pos_003296_20260511_164041_016.png
107,3297,20260511_164042_534,116.547,160,120,data/frames/orange_pos_clean_01/orange_pos_003297_20260511_164042_534.png
108,3299,20260511_164042_968,116.984,160,120,data/frames/orange_pos_clean_01/orange_pos_003299_20260511_164042_968.png
109,3300,20260511_164044_586,118.531,160,120,data/frames/orange_pos_clean_01/orange_pos_003300_20260511_164044_586.png
110,3301,20260511_164045_038,119.016,160,120,data/frames/orange_pos_clean_01/orange_pos_003301_20260511_164045_038.png
111,3302,20260511_164046_824,120.797,160,120,data/frames/orange_pos_clean_01/orange_pos_003302_20260511_164046_824.png
112,3304,20260511_164047_222,121.328,160,120,data/frames/orange_pos_clean_01/orange_pos_003304_20260511_164047_222.png
113,3305,20260511_164047_827,121.844,160,120,data/frames/orange_pos_clean_01/orange_pos_003305_20260511_164047_827.png
114,3306,20260511_164048_910,122.844,160,120,data/frames/orange_pos_clean_01/orange_pos_003306_20260511_164048_910.png
115,3307,20260511_164049_264,123.578,160,120,data/frames/orange_pos_clean_01/orange_pos_003307_20260511_164049_264.png
116,3308,20260511_164050_073,124.063,160,120,data/frames/orange_pos_clean_01/orange_pos_003308_20260511_164050_073.png
117,3309,20260511_164051_485,125.438,160,120,data/frames/orange_pos_clean_01/orange_pos_003309_20260511_164051_485.png
118,3310,20260511_164054_005,128.000,160,120,data/frames/orange_pos_clean_01/orange_pos_003310_20260511_164054_005.png
119,3311,20260511_164055_755,129.750,160,120,data/frames/orange_pos_clean_01/orange_pos_003311_20260511_164055_755.png
120,3314,20260511_164056_198,130.203,160,120,data/frames/orange_pos_clean_01/orange_pos_003314_20260511_164056_198.png
121,3315,20260511_164057_826,131.891,160,120,data/frames/orange_pos_clean_01/orange_pos_003315_20260511_164057_826.png
122,3317,20260511_164058_308,132.250,160,120,data/frames/orange_pos_clean_01/orange_pos_003317_20260511_164058_308.png
123,3318,20260511_164058_717,132.859,160,120,data/frames/orange_pos_clean_01/orange_pos_003318_20260511_164058_717.png
124,3319,20260511_164100_313,134.266,160,120,data/frames/orange_pos_clean_01/orange_pos_003319_20260511_164100_313.png
125,3320,20260511_164100_735,134.750,160,120,data/frames/orange_pos_clean_01/orange_pos_003320_20260511_164100_735.png
126,3322,20260511_164102_567,136.516,160,120,data/frames/orange_pos_clean_01/orange_pos_003322_20260511_164102_567.png
127,3323,20260511_164103_001,136.906,160,120,data/frames/orange_pos_clean_01/orange_pos_003323_20260511_164103_001.png
128,3324,20260511_164104_723,138.703,160,120,data/frames/orange_pos_clean_01/orange_pos_003324_20260511_164104_723.png
129,3326,20260511_164105_136,139.094,160,120,data/frames/orange_pos_clean_01/orange_pos_003326_20260511_164105_136.png
130,3327,20260511_164107_057,140.938,160,120,data/frames/orange_pos_clean_01/orange_pos_003327_20260511_164107_057.png
131,3329,20260511_164107_352,141.375,160,120,data/frames/orange_pos_clean_01/orange_pos_003329_20260511_164107_352.png
132,3330,20260511_164109_188,143.094,160,120,data/frames/orange_pos_clean_01/orange_pos_003330_20260511_164109_188.png
133,3332,20260511_164109_532,143.469,160,120,data/frames/orange_pos_clean_01/orange_pos_003332_20260511_164109_532.png
134,3336,20260511_164111_804,145.734,160,120,data/frames/orange_pos_clean_01/orange_pos_003336_20260511_164111_804.png
135,3337,20260511_164113_672,147.625,160,120,data/frames/orange_pos_clean_01/orange_pos_003337_20260511_164113_672.png
136,3338,20260511_164114_043,147.969,160,120,data/frames/orange_pos_clean_01/orange_pos_003338_20260511_164114_043.png
137,3339,20260511_164115_801,149.875,160,120,data/frames/orange_pos_clean_01/orange_pos_003339_20260511_164115_801.png
138,3340,20260511_164116_313,150.250,160,120,data/frames/orange_pos_clean_01/orange_pos_003340_20260511_164116_313.png
139,3341,20260511_164118_094,152.063,160,120,data/frames/orange_pos_clean_01/orange_pos_003341_20260511_164118_094.png
140,3343,20260511_164120_525,154.469,160,120,data/frames/orange_pos_clean_01/orange_pos_003343_20260511_164120_525.png
141,3344,20260511_164120_976,154.859,160,120,data/frames/orange_pos_clean_01/orange_pos_003344_20260511_164120_976.png
142,3345,20260511_164122_505,156.391,160,120,data/frames/orange_pos_clean_01/orange_pos_003345_20260511_164122_505.png
143,3346,20260511_164122_814,156.766,160,120,data/frames/orange_pos_clean_01/orange_pos_003346_20260511_164122_814.png
144,3347,20260511_164124_915,158.781,160,120,data/frames/orange_pos_clean_01/orange_pos_003347_20260511_164124_915.png
145,3348,20260511_164125_235,159.156,160,120,data/frames/orange_pos_clean_01/orange_pos_003348_20260511_164125_235.png
146,3350,20260511_164127_147,161.141,160,120,data/frames/orange_pos_clean_01/orange_pos_003350_20260511_164127_147.png
147,3351,20260511_164127_545,161.516,160,120,data/frames/orange_pos_clean_01/orange_pos_003351_20260511_164127_545.png
148,3353,20260511_164129_553,163.469,160,120,data/frames/orange_pos_clean_01/orange_pos_003353_20260511_164129_553.png
149,3354,20260511_164131_399,165.266,160,120,data/frames/orange_pos_clean_01/orange_pos_003354_20260511_164131_399.png
150,3356,20260511_164131_690,165.609,160,120,data/frames/orange_pos_clean_01/orange_pos_003356_20260511_164131_690.png
151,3357,20260511_164132_088,165.938,160,120,data/frames/orange_pos_clean_01/orange_pos_003357_20260511_164132_088.png
152,3358,20260511_164134_037,167.984,160,120,data/frames/orange_pos_clean_01/orange_pos_003358_20260511_164134_037.png
153,3359,20260511_164135_778,169.703,160,120,data/frames/orange_pos_clean_01/orange_pos_003359_20260511_164135_778.png
154,3361,20260511_164136_144,170.141,160,120,data/frames/orange_pos_clean_01/orange_pos_003361_20260511_164136_144.png
155,3362,20260511_164136_574,170.516,160,120,data/frames/orange_pos_clean_01/orange_pos_003362_20260511_164136_574.png
156,3363,20260511_164138_079,171.953,160,120,data/frames/orange_pos_clean_01/orange_pos_003363_20260511_164138_079.png
157,3365,20260511_164138_402,172.266,160,120,data/frames/orange_pos_clean_01/orange_pos_003365_20260511_164138_402.png
158,3366,20260511_164138_733,172.703,160,120,data/frames/orange_pos_clean_01/orange_pos_003366_20260511_164138_733.png
159,3367,20260511_164140_746,174.703,160,120,data/frames/orange_pos_clean_01/orange_pos_003367_20260511_164140_746.png
160,3369,20260511_164142_560,176.500,160,120,data/frames/orange_pos_clean_01/orange_pos_003369_20260511_164142_560.png
161,3372,20260511_164142_909,176.891,160,120,data/frames/orange_pos_clean_01/orange_pos_003372_20260511_164142_909.png
162,3373,20260511_164144_677,178.672,160,120,data/frames/orange_pos_clean_01/orange_pos_003373_20260511_164144_677.png
163,3376,20260511_164145_399,179.344,160,120,data/frames/orange_pos_clean_01/orange_pos_003376_20260511_164145_399.png
164,3378,20260511_164147_073,180.969,160,120,data/frames/orange_pos_clean_01/orange_pos_003378_20260511_164147_073.png
165,3379,20260511_164147_432,181.313,160,120,data/frames/orange_pos_clean_01/orange_pos_003379_20260511_164147_432.png
166,3380,20260511_164149_373,183.297,160,120,data/frames/orange_pos_clean_01/orange_pos_003380_20260511_164149_373.png
167,3382,20260511_164151_534,185.453,160,120,data/frames/orange_pos_clean_01/orange_pos_003382_20260511_164151_534.png
168,3383,20260511_164151_935,185.938,160,120,data/frames/orange_pos_clean_01/orange_pos_003383_20260511_164151_935.png
169,3384,20260511_164153_708,187.656,160,120,data/frames/orange_pos_clean_01/orange_pos_003384_20260511_164153_708.png
170,3386,20260511_164154_072,188.016,160,120,data/frames/orange_pos_clean_01/orange_pos_003386_20260511_164154_072.png
171,3387,20260511_164155_840,189.734,160,120,data/frames/orange_pos_clean_01/orange_pos_003387_20260511_164155_840.png
172,3388,20260511_164156_376,190.313,160,120,data/frames/orange_pos_clean_01/orange_pos_003388_20260511_164156_376.png
