index,frame,timestamp,elapsed_s,width,height,path
1,4444,20260511_154624_621,0.282,160,120,data/frames/orange_pos_02/orange_pos_004444_20260511_154624_621.png
2,4445,20260511_154625_897,1.610,160,120,data/frames/orange_pos_02/orange_pos_004445_20260511_154625_897.png
3,4448,20260511_154626_307,1.985,160,120,data/frames/orange_pos_02/orange_pos_004448_20260511_154626_307.png
4,4452,20260511_154629_424,5.110,160,120,data/frames/orange_pos_02/orange_pos_004452_20260511_154629_424.png
5,4453,20260511_154630_258,5.953,160,120,data/frames/orange_pos_02/orange_pos_004453_20260511_154630_258.png
6,4455,20260511_154630_646,6.297,160,120,data/frames/orange_pos_02/orange_pos_004455_20260511_154630_646.png
7,4456,20260511_154631_002,6.672,160,120,data/frames/orange_pos_02/orange_pos_004456_20260511_154631_002.png
8,4457,20260511_154632_410,8.094,160,120,data/frames/orange_pos_02/orange_pos_004457_20260511_154632_410.png
9,4459,20260511_154632_885,8.594,160,120,data/frames/orange_pos_02/orange_pos_004459_20260511_154632_885.png
10,4460,20260511_154633_605,9.297,160,120,data/frames/orange_pos_02/orange_pos_004460_20260511_154633_605.png
11,4461,20260511_154634_915,10.578,160,120,data/frames/orange_pos_02/orange_pos_004461_20260511_154634_915.png
12,4462,20260511_154635_270,10.985,160,120,data/frames/orange_pos_02/orange_pos_004462_20260511_154635_270.png
13,4463,20260511_154637_410,13.047,160,120,data/frames/orange_pos_02/orange_pos_004463_20260511_154637_410.png
14,4465,20260511_154639_534,15.266,160,120,data/frames/orange_pos_02/orange_pos_004465_20260511_154639_534.png
15,4466,20260511_154639_952,15.657,160,120,data/frames/orange_pos_02/orange_pos_004466_20260511_154639_952.png
16,4467,20260511_154641_670,17.344,160,120,data/frames/orange_pos_02/orange_pos_004467_20260511_154641_670.png
17,4468,20260511_154642_034,17.750,160,120,data/frames/orange_pos_02/orange_pos_004468_20260511_154642_034.png
18,4469,20260511_154643_784,19.438,160,120,data/frames/orange_pos_02/orange_pos_004469_20260511_154643_784.png
19,4471,20260511_154644_126,19.782,160,120,data/frames/orange_pos_02/orange_pos_004471_20260511_154644_126.png
20,4472,20260511_154645_975,21.625,160,120,data/frames/orange_pos_02/orange_pos_004472_20260511_154645_975.png
21,4475,20260511_154646_344,21.969,160,120,data/frames/orange_pos_02/orange_pos_004475_20260511_154646_344.png
22,4476,20260511_154648_233,23.938,160,120,data/frames/orange_pos_02/orange_pos_004476_20260511_154648_233.png
23,4478,20260511_154648_659,24.375,160,120,data/frames/orange_pos_02/orange_pos_004478_20260511_154648_659.png
24,4482,20260511_154650_957,26.672,160,120,data/frames/orange_pos_02/orange_pos_004482_20260511_154650_957.png
25,4483,20260511_154652_579,28.266,160,120,data/frames/orange_pos_02/orange_pos_004483_20260511_154652_579.png
26,4484,20260511_154652_979,28.641,160,120,data/frames/orange_pos_02/orange_pos_004484_20260511_154652_979.png
27,4485,20260511_154653_379,29.063,160,120,data/frames/orange_pos_02/orange_pos_004485_20260511_154653_379.png
28,4486,20260511_154654_941,30.625,160,120,data/frames/orange_pos_02/orange_pos_004486_20260511_154654_941.png
29,4488,20260511_154655_318,31.016,160,120,data/frames/orange_pos_02/orange_pos_004488_20260511_154655_318.png
30,4489,20260511_154657_235,32.969,160,120,data/frames/orange_pos_02/orange_pos_004489_20260511_154657_235.png
31,4490,20260511_154657_725,33.422,160,120,data/frames/orange_pos_02/orange_pos_004490_20260511_154657_725.png
32,4491,20260511_154659_460,35.157,160,120,data/frames/orange_pos_02/orange_pos_004491_20260511_154659_460.png
33,4492,20260511_154659_876,35.641,160,120,data/frames/orange_pos_02/orange_pos_004492_20260511_154659_876.png
34,4493,20260511_154701_715,37.375,160,120,data/frames/orange_pos_02/orange_pos_004493_20260511_154701_715.png
35,4494,20260511_154702_074,37.766,160,120,data/frames/orange_pos_02/orange_pos_004494_20260511_154702_074.png
36,4496,20260511_154703_845,39.532,160,120,data/frames/orange_pos_02/orange_pos_004496_20260511_154703_845.png
37,4498,20260511_154704_278,40.032,160,120,data/frames/orange_pos_02/orange_pos_004498_20260511_154704_278.png
38,4499,20260511_154705_948,41.688,160,120,data/frames/orange_pos_02/orange_pos_004499_20260511_154705_948.png
39,4501,20260511_154706_427,42.094,160,120,data/frames/orange_pos_02/orange_pos_004501_20260511_154706_427.png
40,4502,20260511_154708_220,43.891,160,120,data/frames/orange_pos_02/orange_pos_004502_20260511_154708_220.png
41,4505,20260511_154708_645,44.360,160,120,data/frames/orange_pos_02/orange_pos_004505_20260511_154708_645.png
42,4506,20260511_154710_508,46.250,160,120,data/frames/orange_pos_02/orange_pos_004506_20260511_154710_508.png
43,4508,20260511_154710_945,46.719,160,120,data/frames/orange_pos_02/orange_pos_004508_20260511_154710_945.png
44,4509,20260511_154712_664,48.453,160,120,data/frames/orange_pos_02/orange_pos_004509_20260511_154712_664.png
45,4511,20260511_154713_160,49.016,160,120,data/frames/orange_pos_02/orange_pos_004511_20260511_154713_160.png
46,4513,20260511_154715_170,50.969,160,120,data/frames/orange_pos_02/orange_pos_004513_20260511_154715_170.png
47,4514,20260511_154715_697,51.453,160,120,data/frames/orange_pos_02/orange_pos_004514_20260511_154715_697.png
48,4515,20260511_154717_078,52.828,160,120,data/frames/orange_pos_02/orange_pos_004515_20260511_154717_078.png
