image,x,y,score,hit
orange_pos_001721_20260510_221828_918.png,0,0,0.614,0
orange_pos_001721_20260510_221828_918.png,20,0,0.614,0
orange_pos_001721_20260510_221828_918.png,40,0,1.985,0
orange_pos_001721_20260510_221828_918.png,60,0,0.987,0
orange_pos_001721_20260510_221828_918.png,80,0,0.614,0
orange_pos_001721_20260510_221828_918.png,100,0,0.614,0
orange_pos_001721_20260510_221828_918.png,120,0,0.614,0
orange_pos_001721_20260510_221828_918.png,140,0,0.614,0
orange_pos_001721_20260510_221828_918.png,0,20,0.614,0
orange_pos_001721_20260510_221828_918.png,20,20,0.614,0
orange_pos_001721_20260510_221828_918.png,40,20,1.489,0
orange_pos_001721_20260510_221828_918.png,60,20,0.619,0
orange_pos_001721_20260510_221828_918.png,80,20,0.614,0
orange_pos_001721_20260510_221828_918.png,100,20,0.614,0
orange_pos_001721_20260510_221828_918.png,120,20,0.614,0
orange_pos_001721_20260510_221828_918.png,140,20,0.614,0
orange_pos_001721_20260510_221828_918.png,0,40,0.649,0
orange_pos_001721_20260510_221828_918.png,20,40,0.614,0
orange_pos_001721_20260510_221828_918.png,40,40,0.747,0
orange_pos_001721_20260510_221828_918.png,60,40,0.614,0
orange_pos_001721_20260510_221828_918.png,80,40,0.614,0
orange_pos_001721_20260510_221828_918.png,100,40,0.614,0
orange_pos_001721_20260510_221828_918.png,120,40,0.614,0
orange_pos_001721_20260510_221828_918.png,140,40,0.614,0
orange_pos_001721_20260510_221828_918.png,0,60,0.614,0
orange_pos_001721_20260510_221828_918.png,20,60,0.614,0
orange_pos_001721_20260510_221828_918.png,40,60,1.202,0
orange_pos_001721_20260510_221828_918.png,60,60,0.614,0
orange_pos_001721_20260510_221828_918.png,80,60,0.614,0
orange_pos_001721_20260510_221828_918.png,100,60,0.614,0
orange_pos_001721_20260510_221828_918.png,120,60,0.614,0
orange_pos_001721_20260510_221828_918.png,140,60,0.614,0
orange_pos_001721_20260510_221828_918.png,0,80,0.614,0
orange_pos_001721_20260510_221828_918.png,20,80,0.614,0
orange_pos_001721_20260510_221828_918.png,40,80,1.191,0
orange_pos_001721_20260510_221828_918.png,60,80,0.917,0
orange_pos_001721_20260510_221828_918.png,80,80,0.615,0
orange_pos_001721_20260510_221828_918.png,100,80,0.614,0
orange_pos_001721_20260510_221828_918.png,120,80,0.614,0
orange_pos_001721_20260510_221828_918.png,140,80,0.710,0
orange_pos_001721_20260510_221828_918.png,0,100,0.614,0
orange_pos_001721_20260510_221828_918.png,20,100,0.658,0
orange_pos_001721_20260510_221828_918.png,40,100,0.828,0
orange_pos_001721_20260510_221828_918.png,60,100,0.786,0
orange_pos_001721_20260510_221828_918.png,80,100,0.631,0
orange_pos_001721_20260510_221828_918.png,100,100,0.614,0
orange_pos_001721_20260510_221828_918.png,120,100,0.614,0
orange_pos_001721_20260510_221828_918.png,140,100,0.614,0
orange_pos_001722_20260510_221830_889.png,0,0,11.366,0
orange_pos_001722_20260510_221830_889.png,20,0,12.950,0
orange_pos_001722_20260510_221830_889.png,40,0,43.953,0
orange_pos_001722_20260510_221830_889.png,60,0,46.550,0
orange_pos_001722_20260510_221830_889.png,80,0,23.278,0
orange_pos_001722_20260510_221830_889.png,100,0,9.402,0
orange_pos_001722_20260510_221830_889.png,120,0,13.130,0
orange_pos_001722_20260510_221830_889.png,140,0,27.534,0
orange_pos_001722_20260510_221830_889.png,0,20,20.042,0
orange_pos_001722_20260510_221830_889.png,20,20,11.602,0
orange_pos_001722_20260510_221830_889.png,40,20,35.491,0
orange_pos_001722_20260510_221830_889.png,60,20,24.151,0
orange_pos_001722_20260510_221830_889.png,80,20,2.703,0
orange_pos_001722_20260510_221830_889.png,100,20,0.614,0
orange_pos_001722_20260510_221830_889.png,120,20,0.701,0
orange_pos_001722_20260510_221830_889.png,140,20,17.472,0
orange_pos_001722_20260510_221830_889.png,0,40,16.196,0
orange_pos_001722_20260510_221830_889.png,20,40,14.432,0
orange_pos_001722_20260510_221830_889.png,40,40,38.133,0
orange_pos_001722_20260510_221830_889.png,60,40,17.264,0
orange_pos_001722_20260510_221830_889.png,80,40,1.051,0
orange_pos_001722_20260510_221830_889.png,100,40,0.614,0
orange_pos_001722_20260510_221830_889.png,120,40,0.661,0
orange_pos_001722_20260510_221830_889.png,140,40,18.457,0
orange_pos_001722_20260510_221830_889.png,0,60,13.693,0
orange_pos_001722_20260510_221830_889.png,20,60,12.323,0
orange_pos_001722_20260510_221830_889.png,40,60,35.545,0
orange_pos_001722_20260510_221830_889.png,60,60,19.689,0
orange_pos_001722_20260510_221830_889.png,80,60,4.975,0
orange_pos_001722_20260510_221830_889.png,100,60,0.676,0
orange_pos_001722_20260510_221830_889.png,120,60,4.208,0
orange_pos_001722_20260510_221830_889.png,140,60,19.348,0
orange_pos_001722_20260510_221830_889.png,0,80,14.112,0
