image,x,y,score,hit
orange_pos_001721_20260510_221828_918.png,0,0,0.621,0
orange_pos_001721_20260510_221828_918.png,20,0,0.621,0
orange_pos_001721_20260510_221828_918.png,40,0,1.221,0
orange_pos_001721_20260510_221828_918.png,60,0,0.630,0
orange_pos_001721_20260510_221828_918.png,80,0,0.621,0
orange_pos_001721_20260510_221828_918.png,100,0,0.621,0
orange_pos_001721_20260510_221828_918.png,120,0,0.621,0
orange_pos_001721_20260510_221828_918.png,140,0,0.621,0
orange_pos_001721_20260510_221828_918.png,0,20,0.621,0
orange_pos_001721_20260510_221828_918.png,20,20,0.621,0
orange_pos_001721_20260510_221828_918.png,40,20,0.872,0
orange_pos_001721_20260510_221828_918.png,60,20,0.621,0
orange_pos_001721_20260510_221828_918.png,80,20,0.621,0
orange_pos_001721_20260510_221828_918.png,100,20,0.621,0
orange_pos_001721_20260510_221828_918.png,120,20,0.621,0
orange_pos_001721_20260510_221828_918.png,140,20,0.621,0
orange_pos_001721_20260510_221828_918.png,0,40,0.643,0
orange_pos_001721_20260510_221828_918.png,20,40,0.621,0
orange_pos_001721_20260510_221828_918.png,40,40,0.621,0
orange_pos_001721_20260510_221828_918.png,60,40,0.621,0
orange_pos_001721_20260510_221828_918.png,80,40,0.621,0
orange_pos_001721_20260510_221828_918.png,100,40,0.621,0
orange_pos_001721_20260510_221828_918.png,120,40,0.621,0
orange_pos_001721_20260510_221828_918.png,140,40,0.621,0
orange_pos_001721_20260510_221828_918.png,0,60,0.621,0
orange_pos_001721_20260510_221828_918.png,20,60,0.621,0
orange_pos_001721_20260510_221828_918.png,40,60,0.731,0
orange_pos_001721_20260510_221828_918.png,60,60,0.621,0
orange_pos_001721_20260510_221828_918.png,80,60,0.621,0
orange_pos_001721_20260510_221828_918.png,100,60,0.621,0
orange_pos_001721_20260510_221828_918.png,120,60,0.621,0
orange_pos_001721_20260510_221828_918.png,140,60,0.621,0
orange_pos_001721_20260510_221828_918.png,0,80,0.621,0
orange_pos_001721_20260510_221828_918.png,20,80,0.621,0
orange_pos_001721_20260510_221828_918.png,40,80,0.770,0
orange_pos_001721_20260510_221828_918.png,60,80,0.630,0
orange_pos_001721_20260510_221828_918.png,80,80,0.621,0
orange_pos_001721_20260510_221828_918.png,100,80,0.621,0
orange_pos_001721_20260510_221828_918.png,120,80,0.621,0
orange_pos_001721_20260510_221828_918.png,140,80,0.621,0
orange_pos_001721_20260510_221828_918.png,0,100,0.621,0
orange_pos_001721_20260510_221828_918.png,20,100,0.621,0
orange_pos_001721_20260510_221828_918.png,40,100,0.627,0
orange_pos_001721_20260510_221828_918.png,60,100,0.625,0
orange_pos_001721_20260510_221828_918.png,80,100,0.621,0
orange_pos_001721_20260510_221828_918.png,100,100,0.621,0
orange_pos_001721_20260510_221828_918.png,120,100,0.621,0
orange_pos_001721_20260510_221828_918.png,140,100,0.621,0
orange_pos_001722_20260510_221830_889.png,0,0,9.633,0
orange_pos_001722_20260510_221830_889.png,20,0,10.984,0
orange_pos_001722_20260510_221830_889.png,40,0,37.030,0
orange_pos_001722_20260510_221830_889.png,60,0,37.515,0
orange_pos_001722_20260510_221830_889.png,80,0,14.662,0
orange_pos_001722_20260510_221830_889.png,100,0,4.722,0
orange_pos_001722_20260510_221830_889.png,120,0,6.535,0
orange_pos_001722_20260510_221830_889.png,140,0,19.447,0
orange_pos_001722_20260510_221830_889.png,0,20,16.599,0
orange_pos_001722_20260510_221830_889.png,20,20,9.691,0
orange_pos_001722_20260510_221830_889.png,40,20,28.308,0
orange_pos_001722_20260510_221830_889.png,60,20,16.440,0
orange_pos_001722_20260510_221830_889.png,80,20,1.066,0
