image,x,y,score,hit
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,0,0,5.543,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,20,0,2.927,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,40,0,4.832,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,60,0,5.505,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,80,0,8.431,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,100,0,10.130,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,120,0,8.480,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,140,0,5.647,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,0,20,3.547,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,20,20,3.842,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,40,20,4.561,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,60,20,5.654,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,80,20,10.029,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,100,20,10.553,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,120,20,9.902,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,140,20,5.729,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,0,40,2.551,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,20,40,4.181,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,40,40,4.335,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,60,40,5.356,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,80,40,8.651,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,100,40,10.103,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,120,40,8.252,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,140,40,5.249,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,0,60,2.886,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,20,60,4.335,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,40,60,4.147,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,60,60,4.829,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,80,60,5.266,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,100,60,5.812,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,120,60,5.136,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,140,60,4.573,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,0,80,3.120,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,20,80,3.765,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,40,80,4.097,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,60,80,4.164,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,80,80,4.238,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,100,80,4.353,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,120,80,4.307,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,140,80,4.055,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,0,100,2.353,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,20,100,3.454,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,40,100,3.681,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,60,100,3.855,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,80,100,3.823,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,100,100,3.862,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,120,100,3.783,0
orange_pos_clean_01/orange_pos_003146_20260511_163846_352.png,140,100,3.625,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,0,0,5.504,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,20,0,5.311,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,40,0,4.850,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,60,0,5.279,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,0,8.339,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,0,10.061,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,0,8.364,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,0,5.411,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,0,20,3.371,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,20,20,5.899,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,40,20,4.367,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,60,20,5.586,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,20,9.944,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,20,10.553,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,20,9.831,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,20,5.571,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,0,40,2.533,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,20,40,5.227,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,40,40,4.110,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,60,40,5.170,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,40,8.391,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,40,10.043,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,40,7.957,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,40,5.061,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,0,60,2.947,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,20,60,4.539,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,40,60,3.973,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,60,60,4.639,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,60,5.054,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,60,5.524,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,60,4.936,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,60,4.380,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,0,80,3.165,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,20,80,3.660,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,40,80,3.917,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,60,80,4.023,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,80,4.090,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,80,4.251,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,80,4.185,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,80,3.965,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,0,100,2.196,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,20,100,3.270,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,40,100,3.503,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,60,100,3.633,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,100,3.646,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,100,3.622,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,100,3.552,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,100,3.441,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,0,21.136,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,0,17.435,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,0,5.945,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,0,5.832,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,0,8.415,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,0,10.114,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,0,8.519,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,0,6.047,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,20,18.800,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,20,6.560,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,20,5.083,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,20,5.678,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,20,9.992,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,20,10.553,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,20,9.861,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,20,5.917,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,40,22.013,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,40,5.868,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,40,4.742,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,40,5.208,0
