index,frame,timestamp,elapsed_s,width,height,path
1,7897,20260511_172747_132,0.281,160,120,data/frames/orange_neg_clean_01/orange_neg_007897_20260511_172747_132.png
2,7898,20260511_172748_862,1.937,160,120,data/frames/orange_neg_clean_01/orange_neg_007898_20260511_172748_862.png
3,7899,20260511_172749_325,2.469,160,120,data/frames/orange_neg_clean_01/orange_neg_007899_20260511_172749_325.png
4,7900,20260511_172751_084,4.219,160,120,data/frames/orange_neg_clean_01/orange_neg_007900_20260511_172751_084.png
5,7902,20260511_172751_449,4.562,160,120,data/frames/orange_neg_clean_01/orange_neg_007902_20260511_172751_449.png
6,7903,20260511_172751_782,4.937,160,120,data/frames/orange_neg_clean_01/orange_neg_007903_20260511_172751_782.png
7,7905,20260511_172753_428,6.562,160,120,data/frames/orange_neg_clean_01/orange_neg_007905_20260511_172753_428.png
8,7907,20260511_172753_767,6.906,160,120,data/frames/orange_neg_clean_01/orange_neg_007907_20260511_172753_767.png
9,7908,20260511_172755_392,8.531,160,120,data/frames/orange_neg_clean_01/orange_neg_007908_20260511_172755_392.png
10,7910,20260511_172755_735,8.922,160,120,data/frames/orange_neg_clean_01/orange_neg_007910_20260511_172755_735.png
11,7912,20260511_172756_156,9.281,160,120,data/frames/orange_neg_clean_01/orange_neg_007912_20260511_172756_156.png
12,7914,20260511_172757_695,10.812,160,120,data/frames/orange_neg_clean_01/orange_neg_007914_20260511_172757_695.png
13,7915,20260511_172758_055,11.187,160,120,data/frames/orange_neg_clean_01/orange_neg_007915_20260511_172758_055.png
14,7916,20260511_172758_397,11.531,160,120,data/frames/orange_neg_clean_01/orange_neg_007916_20260511_172758_397.png
15,7917,20260511_172759_996,13.109,160,120,data/frames/orange_neg_clean_01/orange_neg_007917_20260511_172759_996.png
16,7918,20260511_172800_323,13.391,160,120,data/frames/orange_neg_clean_01/orange_neg_007918_20260511_172800_323.png
17,7919,20260511_172800_602,13.734,160,120,data/frames/orange_neg_clean_01/orange_neg_007919_20260511_172800_602.png
18,7920,20260511_172802_188,15.328,160,120,data/frames/orange_neg_clean_01/orange_neg_007920_20260511_172802_188.png
19,7922,20260511_172802_548,15.703,160,120,data/frames/orange_neg_clean_01/orange_neg_007922_20260511_172802_548.png
20,7923,20260511_172802_903,16.016,160,120,data/frames/orange_neg_clean_01/orange_neg_007923_20260511_172802_903.png
21,7924,20260511_172804_305,17.437,160,120,data/frames/orange_neg_clean_01/orange_neg_007924_20260511_172804_305.png
22,7927,20260511_172804_659,17.797,160,120,data/frames/orange_neg_clean_01/orange_neg_007927_20260511_172804_659.png
23,7928,20260511_172805_010,18.125,160,120,data/frames/orange_neg_clean_01/orange_neg_007928_20260511_172805_010.png
24,7930,20260511_172806_730,19.844,160,120,data/frames/orange_neg_clean_01/orange_neg_007930_20260511_172806_730.png
25,7931,20260511_172807_057,20.203,160,120,data/frames/orange_neg_clean_01/orange_neg_007931_20260511_172807_057.png
26,7932,20260511_172808_812,21.937,160,120,data/frames/orange_neg_clean_01/orange_neg_007932_20260511_172808_812.png
27,7933,20260511_172809_156,22.234,160,120,data/frames/orange_neg_clean_01/orange_neg_007933_20260511_172809_156.png
28,7934,20260511_172809_454,22.594,160,120,data/frames/orange_neg_clean_01/orange_neg_007934_20260511_172809_454.png
29,7935,20260511_172811_040,24.156,160,120,data/frames/orange_neg_clean_01/orange_neg_007935_20260511_172811_040.png
30,7937,20260511_172811_412,24.531,160,120,data/frames/orange_neg_clean_01/orange_neg_007937_20260511_172811_412.png
31,7938,20260511_172811_737,24.875,160,120,data/frames/orange_neg_clean_01/orange_neg_007938_20260511_172811_737.png
32,7939,20260511_172813_527,26.641,160,120,data/frames/orange_neg_clean_01/orange_neg_007939_20260511_172813_527.png
33,7940,20260511_172813_857,26.969,160,120,data/frames/orange_neg_clean_01/orange_neg_007940_20260511_172813_857.png
34,7941,20260511_172815_457,28.578,160,120,data/frames/orange_neg_clean_01/orange_neg_007941_20260511_172815_457.png
35,7944,20260511_172815_783,28.906,160,120,data/frames/orange_neg_clean_01/orange_neg_007944_20260511_172815_783.png
36,7945,20260511_172816_126,29.187,160,120,data/frames/orange_neg_clean_01/orange_neg_007945_20260511_172816_126.png
37,7946,20260511_172817_645,30.734,160,120,data/frames/orange_neg_clean_01/orange_neg_007946_20260511_172817_645.png
38,7947,20260511_172817_976,31.125,160,120,data/frames/orange_neg_clean_01/orange_neg_007947_20260511_172817_976.png
39,7949,20260511_172818_338,31.469,160,120,data/frames/orange_neg_clean_01/orange_neg_007949_20260511_172818_338.png
40,7951,20260511_172820_252,33.391,160,120,data/frames/orange_neg_clean_01/orange_neg_007951_20260511_172820_252.png
41,7952,20260511_172820_624,33.766,160,120,data/frames/orange_neg_clean_01/orange_neg_007952_20260511_172820_624.png
42,7954,20260511_172822_488,35.625,160,120,data/frames/orange_neg_clean_01/orange_neg_007954_20260511_172822_488.png
43,7955,20260511_172822_831,35.953,160,120,data/frames/orange_neg_clean_01/orange_neg_007955_20260511_172822_831.png
44,7956,20260511_172824_425,37.562,160,120,data/frames/orange_neg_clean_01/orange_neg_007956_20260511_172824_425.png
45,7958,20260511_172824_796,37.922,160,120,data/frames/orange_neg_clean_01/orange_neg_007958_20260511_172824_796.png
46,7959,20260511_172825_141,38.203,160,120,data/frames/orange_neg_clean_01/orange_neg_007959_20260511_172825_141.png
47,7960,20260511_172826_864,39.984,160,120,data/frames/orange_neg_clean_01/orange_neg_007960_20260511_172826_864.png
48,7962,20260511_172827_188,40.312,160,120,data/frames/orange_neg_clean_01/orange_neg_007962_20260511_172827_188.png
49,7963,20260511_172828_841,41.953,160,120,data/frames/orange_neg_clean_01/orange_neg_007963_20260511_172828_841.png
50,7965,20260511_172829_165,42.234,160,120,data/frames/orange_neg_clean_01/orange_neg_007965_20260511_172829_165.png
51,7966,20260511_172829_478,42.562,160,120,data/frames/orange_neg_clean_01/orange_neg_007966_20260511_172829_478.png
52,7967,20260511_172831_122,44.266,160,120,data/frames/orange_neg_clean_01/orange_neg_007967_20260511_172831_122.png
53,7969,20260511_172831_470,44.547,160,120,data/frames/orange_neg_clean_01/orange_neg_007969_20260511_172831_470.png
54,7970,20260511_172831_761,44.828,160,120,data/frames/orange_neg_clean_01/orange_neg_007970_20260511_172831_761.png
55,7971,20260511_172833_286,46.422,160,120,data/frames/orange_neg_clean_01/orange_neg_007971_20260511_172833_286.png
56,7973,20260511_172833_642,46.703,160,120,data/frames/orange_neg_clean_01/orange_neg_007973_20260511_172833_642.png
57,7974,20260511_172833_909,47.047,160,120,data/frames/orange_neg_clean_01/orange_neg_007974_20260511_172833_909.png
58,7975,20260511_172835_647,48.734,160,120,data/frames/orange_neg_clean_01/orange_neg_007975_20260511_172835_647.png
59,7978,20260511_172835_977,49.109,160,120,data/frames/orange_neg_clean_01/orange_neg_007978_20260511_172835_977.png
60,7980,20260511_172837_902,51.000,160,120,data/frames/orange_neg_clean_01/orange_neg_007980_20260511_172837_902.png
61,7982,20260511_172838_227,51.297,160,120,data/frames/orange_neg_clean_01/orange_neg_007982_20260511_172838_227.png
62,7984,20260511_172840_126,53.297,160,120,data/frames/orange_neg_clean_01/orange_neg_007984_20260511_172840_126.png
63,7986,20260511_172840_496,53.641,160,120,data/frames/orange_neg_clean_01/orange_neg_007986_20260511_172840_496.png
64,7987,20260511_172842_213,55.359,160,120,data/frames/orange_neg_clean_01/orange_neg_007987_20260511_172842_213.png
65,7989,20260511_172842_564,55.641,160,120,data/frames/orange_neg_clean_01/orange_neg_007989_20260511_172842_564.png
66,7990,20260511_172842_856,55.937,160,120,data/frames/orange_neg_clean_01/orange_neg_007990_20260511_172842_856.png
67,7991,20260511_172844_523,57.656,160,120,data/frames/orange_neg_clean_01/orange_neg_007991_20260511_172844_523.png
68,7994,20260511_172844_863,57.937,160,120,data/frames/orange_neg_clean_01/orange_neg_007994_20260511_172844_863.png
69,7995,20260511_172846_770,59.906,160,120,data/frames/orange_neg_clean_01/orange_neg_007995_20260511_172846_770.png
70,7997,20260511_172847_142,60.266,160,120,data/frames/orange_neg_clean_01/orange_neg_007997_20260511_172847_142.png
71,7998,20260511_172849_045,62.109,160,120,data/frames/orange_neg_clean_01/orange_neg_007998_20260511_172849_045.png
72,8000,20260511_172849_304,62.422,160,120,data/frames/orange_neg_clean_01/orange_neg_008000_20260511_172849_304.png
73,8001,20260511_172851_209,64.281,160,120,data/frames/orange_neg_clean_01/orange_neg_008001_20260511_172851_209.png
74,8003,20260511_172851_484,64.578,160,120,data/frames/orange_neg_clean_01/orange_neg_008003_20260511_172851_484.png
75,8004,20260511_172851_787,64.906,160,120,data/frames/orange_neg_clean_01/orange_neg_008004_20260511_172851_787.png
76,8005,20260511_172853_447,66.578,160,120,data/frames/orange_neg_clean_01/orange_neg_008005_20260511_172853_447.png
77,8008,20260511_172853_802,66.922,160,120,data/frames/orange_neg_clean_01/orange_neg_008008_20260511_172853_802.png
78,8009,20260511_172855_556,68.687,160,120,data/frames/orange_neg_clean_01/orange_neg_008009_20260511_172855_556.png
79,8011,20260511_172855_895,68.969,160,120,data/frames/orange_neg_clean_01/orange_neg_008011_20260511_172855_895.png
80,8012,20260511_172857_774,70.875,160,120,data/frames/orange_neg_clean_01/orange_neg_008012_20260511_172857_774.png
81,8014,20260511_172858_092,71.187,160,120,data/frames/orange_neg_clean_01/orange_neg_008014_20260511_172858_092.png
82,8015,20260511_172858_402,71.531,160,120,data/frames/orange_neg_clean_01/orange_neg_008015_20260511_172858_402.png
83,8016,20260511_172900_119,73.203,160,120,data/frames/orange_neg_clean_01/orange_neg_008016_20260511_172900_119.png
84,8018,20260511_172900_416,73.578,160,120,data/frames/orange_neg_clean_01/orange_neg_008018_20260511_172900_416.png
85,8019,20260511_172900_792,73.875,160,120,data/frames/orange_neg_clean_01/orange_neg_008019_20260511_172900_792.png
86,8020,20260511_172902_237,75.328,160,120,data/frames/orange_neg_clean_01/orange_neg_008020_20260511_172902_237.png
87,8022,20260511_172902_537,75.609,160,120,data/frames/orange_neg_clean_01/orange_neg_008022_20260511_172902_537.png
88,8023,20260511_172902_837,75.969,160,120,data/frames/orange_neg_clean_01/orange_neg_008023_20260511_172902_837.png
89,8024,20260511_172904_531,77.641,160,120,data/frames/orange_neg_clean_01/orange_neg_008024_20260511_172904_531.png
90,8025,20260511_172904_855,78.000,160,120,data/frames/orange_neg_clean_01/orange_neg_008025_20260511_172904_855.png
91,8026,20260511_172905_211,78.328,160,120,data/frames/orange_neg_clean_01/orange_neg_008026_20260511_172905_211.png
92,8027,20260511_172906_754,79.844,160,120,data/frames/orange_neg_clean_01/orange_neg_008027_20260511_172906_754.png
93,8028,20260511_172907_267,80.344,160,120,data/frames/orange_neg_clean_01/orange_neg_008028_20260511_172907_267.png
94,8029,20260511_172909_135,82.266,160,120,data/frames/orange_neg_clean_01/orange_neg_008029_20260511_172909_135.png
95,8030,20260511_172909_476,82.578,160,120,data/frames/orange_neg_clean_01/orange_neg_008030_20260511_172909_476.png
96,8031,20260511_172911_147,84.266,160,120,data/frames/orange_neg_clean_01/orange_neg_008031_20260511_172911_147.png
97,8033,20260511_172911_468,84.594,160,120,data/frames/orange_neg_clean_01/orange_neg_008033_20260511_172911_468.png
98,8034,20260511_172911_839,84.984,160,120,data/frames/orange_neg_clean_01/orange_neg_008034_20260511_172911_839.png
99,8035,20260511_172913_412,86.516,160,120,data/frames/orange_neg_clean_01/orange_neg_008035_20260511_172913_412.png
100,8037,20260511_172913_740,86.922,160,120,data/frames/orange_neg_clean_01/orange_neg_008037_20260511_172913_740.png
101,8038,20260511_172914_129,87.266,160,120,data/frames/orange_neg_clean_01/orange_neg_008038_20260511_172914_129.png
102,8039,20260511_172915_625,88.766,160,120,data/frames/orange_neg_clean_01/orange_neg_008039_20260511_172915_625.png
103,8041,20260511_172915_987,89.219,160,120,data/frames/orange_neg_clean_01/orange_neg_008041_20260511_172915_987.png
104,8042,20260511_172916_436,89.562,160,120,data/frames/orange_neg_clean_01/orange_neg_008042_20260511_172916_436.png
105,8043,20260511_172917_833,90.969,160,120,data/frames/orange_neg_clean_01/orange_neg_008043_20260511_172917_833.png
106,8045,20260511_172918_203,91.344,160,120,data/frames/orange_neg_clean_01/orange_neg_008045_20260511_172918_203.png
107,8046,20260511_172918_576,91.750,160,120,data/frames/orange_neg_clean_01/orange_neg_008046_20260511_172918_576.png
108,8048,20260511_172920_243,93.437,160,120,data/frames/orange_neg_clean_01/orange_neg_008048_20260511_172920_243.png
109,8049,20260511_172920_672,93.953,160,120,data/frames/orange_neg_clean_01/orange_neg_008049_20260511_172920_672.png
110,8051,20260511_172922_548,95.750,160,120,data/frames/orange_neg_clean_01/orange_neg_008051_20260511_172922_548.png
111,8052,20260511_172922_952,96.031,160,120,data/frames/orange_neg_clean_01/orange_neg_008052_20260511_172922_952.png
112,8053,20260511_172924_512,97.578,160,120,data/frames/orange_neg_clean_01/orange_neg_008053_20260511_172924_512.png
113,8055,20260511_172924_795,97.953,160,120,data/frames/orange_neg_clean_01/orange_neg_008055_20260511_172924_795.png
114,8056,20260511_172925_150,98.234,160,120,data/frames/orange_neg_clean_01/orange_neg_008056_20260511_172925_150.png
115,8057,20260511_172926_814,99.953,160,120,data/frames/orange_neg_clean_01/orange_neg_008057_20260511_172926_814.png
116,8058,20260511_172927_158,100.281,160,120,data/frames/orange_neg_clean_01/orange_neg_008058_20260511_172927_158.png
117,8059,20260511_172928_931,102.062,160,120,data/frames/orange_neg_clean_01/orange_neg_008059_20260511_172928_931.png
118,8061,20260511_172929_282,102.406,160,120,data/frames/orange_neg_clean_01/orange_neg_008061_20260511_172929_282.png
119,8062,20260511_172929_645,102.781,160,120,data/frames/orange_neg_clean_01/orange_neg_008062_20260511_172929_645.png
120,8063,20260511_172931_215,104.344,160,120,data/frames/orange_neg_clean_01/orange_neg_008063_20260511_172931_215.png
121,8065,20260511_172931_578,104.719,160,120,data/frames/orange_neg_clean_01/orange_neg_008065_20260511_172931_578.png
122,8066,20260511_172931_929,105.016,160,120,data/frames/orange_neg_clean_01/orange_neg_008066_20260511_172931_929.png
123,8067,20260511_172933_388,106.547,160,120,data/frames/orange_neg_clean_01/orange_neg_008067_20260511_172933_388.png
124,8069,20260511_172933_761,106.844,160,120,data/frames/orange_neg_clean_01/orange_neg_008069_20260511_172933_761.png
125,8070,20260511_172934_040,107.109,160,120,data/frames/orange_neg_clean_01/orange_neg_008070_20260511_172934_040.png
126,8071,20260511_172935_733,108.922,160,120,data/frames/orange_neg_clean_01/orange_neg_008071_20260511_172935_733.png
127,8073,20260511_172936_143,109.219,160,120,data/frames/orange_neg_clean_01/orange_neg_008073_20260511_172936_143.png
128,8075,20260511_172938_155,111.266,160,120,data/frames/orange_neg_clean_01/orange_neg_008075_20260511_172938_155.png
129,8076,20260511_172938_479,111.594,160,120,data/frames/orange_neg_clean_01/orange_neg_008076_20260511_172938_479.png
130,8078,20260511_172940_197,113.328,160,120,data/frames/orange_neg_clean_01/orange_neg_008078_20260511_172940_197.png
131,8079,20260511_172940_545,113.672,160,120,data/frames/orange_neg_clean_01/orange_neg_008079_20260511_172940_545.png
132,8080,20260511_172942_396,115.547,160,120,data/frames/orange_neg_clean_01/orange_neg_008080_20260511_172942_396.png
133,8083,20260511_172942_751,115.828,160,120,data/frames/orange_neg_clean_01/orange_neg_008083_20260511_172942_751.png
134,8084,20260511_172944_644,117.781,160,120,data/frames/orange_neg_clean_01/orange_neg_008084_20260511_172944_644.png
135,8087,20260511_172945_011,118.172,160,120,data/frames/orange_neg_clean_01/orange_neg_008087_20260511_172945_011.png
136,8088,20260511_172946_722,119.797,160,120,data/frames/orange_neg_clean_01/orange_neg_008088_20260511_172946_722.png
137,8090,20260511_172947_187,120.312,160,120,data/frames/orange_neg_clean_01/orange_neg_008090_20260511_172947_187.png
138,8091,20260511_172949_053,122.125,160,120,data/frames/orange_neg_clean_01/orange_neg_008091_20260511_172949_053.png
139,8092,20260511_172949_334,122.422,160,120,data/frames/orange_neg_clean_01/orange_neg_008092_20260511_172949_334.png
140,8093,20260511_172949_627,122.766,160,120,data/frames/orange_neg_clean_01/orange_neg_008093_20260511_172949_627.png
141,8095,20260511_172951_332,124.453,160,120,data/frames/orange_neg_clean_01/orange_neg_008095_20260511_172951_332.png
142,8097,20260511_172951_655,124.797,160,120,data/frames/orange_neg_clean_01/orange_neg_008097_20260511_172951_655.png
143,8099,20260511_172953_647,126.797,160,120,data/frames/orange_neg_clean_01/orange_neg_008099_20260511_172953_647.png
144,8101,20260511_172954_002,127.078,160,120,data/frames/orange_neg_clean_01/orange_neg_008101_20260511_172954_002.png
145,8102,20260511_172955_639,128.703,160,120,data/frames/orange_neg_clean_01/orange_neg_008102_20260511_172955_639.png
146,8103,20260511_172955_930,129.000,160,120,data/frames/orange_neg_clean_01/orange_neg_008103_20260511_172955_930.png
147,8105,20260511_172956_220,129.297,160,120,data/frames/orange_neg_clean_01/orange_neg_008105_20260511_172956_220.png
148,8106,20260511_172957_851,130.937,160,120,data/frames/orange_neg_clean_01/orange_neg_008106_20260511_172957_851.png
149,8108,20260511_172958_161,131.234,160,120,data/frames/orange_neg_clean_01/orange_neg_008108_20260511_172958_161.png
150,8109,20260511_173000_200,133.328,160,120,data/frames/orange_neg_clean_01/orange_neg_008109_20260511_173000_200.png
151,8112,20260511_173000_546,133.625,160,120,data/frames/orange_neg_clean_01/orange_neg_008112_20260511_173000_546.png
152,8114,20260511_173002_593,135.734,160,120,data/frames/orange_neg_clean_01/orange_neg_008114_20260511_173002_593.png
153,8115,20260511_173002_933,136.031,160,120,data/frames/orange_neg_clean_01/orange_neg_008115_20260511_173002_933.png
154,8116,20260511_173004_651,137.781,160,120,data/frames/orange_neg_clean_01/orange_neg_008116_20260511_173004_651.png
155,8119,20260511_173004_983,138.094,160,120,data/frames/orange_neg_clean_01/orange_neg_008119_20260511_173004_983.png
156,8120,20260511_173006_750,139.891,160,120,data/frames/orange_neg_clean_01/orange_neg_008120_20260511_173006_750.png
157,8121,20260511_173007_106,140.219,160,120,data/frames/orange_neg_clean_01/orange_neg_008121_20260511_173007_106.png
158,8122,20260511_173007_454,140.594,160,120,data/frames/orange_neg_clean_01/orange_neg_008122_20260511_173007_454.png
159,8123,20260511_173008_986,142.078,160,120,data/frames/orange_neg_clean_01/orange_neg_008123_20260511_173008_986.png
160,8125,20260511_173009_281,142.437,160,120,data/frames/orange_neg_clean_01/orange_neg_008125_20260511_173009_281.png
161,8126,20260511_173009_649,142.812,160,120,data/frames/orange_neg_clean_01/orange_neg_008126_20260511_173009_649.png
162,8127,20260511_173011_226,144.375,160,120,data/frames/orange_neg_clean_01/orange_neg_008127_20260511_173011_226.png
163,8129,20260511_173011_580,144.719,160,120,data/frames/orange_neg_clean_01/orange_neg_008129_20260511_173011_580.png
164,8130,20260511_173011_937,145.094,160,120,data/frames/orange_neg_clean_01/orange_neg_008130_20260511_173011_937.png
165,8131,20260511_173013_503,146.641,160,120,data/frames/orange_neg_clean_01/orange_neg_008131_20260511_173013_503.png
166,8133,20260511_173013_849,147.000,160,120,data/frames/orange_neg_clean_01/orange_neg_008133_20260511_173013_849.png
167,8134,20260511_173014_255,147.344,160,120,data/frames/orange_neg_clean_01/orange_neg_008134_20260511_173014_255.png
168,8135,20260511_173015_727,148.844,160,120,data/frames/orange_neg_clean_01/orange_neg_008135_20260511_173015_727.png
169,8136,20260511_173016_053,149.125,160,120,data/frames/orange_neg_clean_01/orange_neg_008136_20260511_173016_053.png
170,8137,20260511_173016_330,149.406,160,120,data/frames/orange_neg_clean_01/orange_neg_008137_20260511_173016_330.png
171,8138,20260511_173018_027,151.172,160,120,data/frames/orange_neg_clean_01/orange_neg_008138_20260511_173018_027.png
172,8141,20260511_173018_411,151.484,160,120,data/frames/orange_neg_clean_01/orange_neg_008141_20260511_173018_411.png
173,8142,20260511_173020_240,153.391,160,120,data/frames/orange_neg_clean_01/orange_neg_008142_20260511_173020_240.png
174,8144,20260511_173020_610,153.781,160,120,data/frames/orange_neg_clean_01/orange_neg_008144_20260511_173020_610.png
175,8145,20260511_173022_436,155.516,160,120,data/frames/orange_neg_clean_01/orange_neg_008145_20260511_173022_436.png
176,8146,20260511_173022_731,155.875,160,120,data/frames/orange_neg_clean_01/orange_neg_008146_20260511_173022_731.png
177,8147,20260511_173023_084,156.281,160,120,data/frames/orange_neg_clean_01/orange_neg_008147_20260511_173023_084.png
178,8148,20260511_173024_673,157.797,160,120,data/frames/orange_neg_clean_01/orange_neg_008148_20260511_173024_673.png
179,8149,20260511_173024_996,158.125,160,120,data/frames/orange_neg_clean_01/orange_neg_008149_20260511_173024_996.png
180,8150,20260511_173025_336,158.484,160,120,data/frames/orange_neg_clean_01/orange_neg_008150_20260511_173025_336.png
181,8151,20260511_173026_862,160.000,160,120,data/frames/orange_neg_clean_01/orange_neg_008151_20260511_173026_862.png
182,8153,20260511_173027_220,160.297,160,120,data/frames/orange_neg_clean_01/orange_neg_008153_20260511_173027_220.png
