index,frame,timestamp,elapsed_s,width,height,path
1,1721,20260510_221828_918,0.281,160,120,data/frames/orange_pos_01/orange_pos_001721_20260510_221828_918.png
2,1722,20260510_221830_889,2.250,160,120,data/frames/orange_pos_01/orange_pos_001722_20260510_221830_889.png
3,1723,20260510_221831_276,2.578,160,120,data/frames/orange_pos_01/orange_pos_001723_20260510_221831_276.png
4,1724,20260510_221833_387,4.735,160,120,data/frames/orange_pos_01/orange_pos_001724_20260510_221833_387.png
5,1725,20260510_221833_772,5.110,160,120,data/frames/orange_pos_01/orange_pos_001725_20260510_221833_772.png
6,1726,20260510_221837_557,9.125,160,120,data/frames/orange_pos_01/orange_pos_001726_20260510_221837_557.png
7,1727,20260510_221838_137,9.516,160,120,data/frames/orange_pos_01/orange_pos_001727_20260510_221838_137.png
8,1728,20260510_221840_362,11.735,160,120,data/frames/orange_pos_01/orange_pos_001728_20260510_221840_362.png
9,1729,20260510_221842_258,13.610,160,120,data/frames/orange_pos_01/orange_pos_001729_20260510_221842_258.png
10,1730,20260510_221842_638,13.969,160,120,data/frames/orange_pos_01/orange_pos_001730_20260510_221842_638.png
11,1731,20260510_221844_255,15.641,160,120,data/frames/orange_pos_01/orange_pos_001731_20260510_221844_255.png
12,1732,20260510_221844_664,16.016,160,120,data/frames/orange_pos_01/orange_pos_001732_20260510_221844_664.png
13,1733,20260510_221847_055,18.469,160,120,data/frames/orange_pos_01/orange_pos_001733_20260510_221847_055.png
14,1734,20260510_221848_950,20.391,160,120,data/frames/orange_pos_01/orange_pos_001734_20260510_221848_950.png
15,1735,20260510_221851_244,22.656,160,120,data/frames/orange_pos_01/orange_pos_001735_20260510_221851_244.png
16,1736,20260510_221853_277,24.656,160,120,data/frames/orange_pos_01/orange_pos_001736_20260510_221853_277.png
17,1737,20260510_221855_501,26.860,160,120,data/frames/orange_pos_01/orange_pos_001737_20260510_221855_501.png
18,1738,20260510_221855_897,27.250,160,120,data/frames/orange_pos_01/orange_pos_001738_20260510_221855_897.png
19,1739,20260510_221858_114,29.453,160,120,data/frames/orange_pos_01/orange_pos_001739_20260510_221858_114.png
20,1740,20260510_221859_808,31.203,160,120,data/frames/orange_pos_01/orange_pos_001740_20260510_221859_808.png
21,1741,20260510_221900_214,31.563,160,120,data/frames/orange_pos_01/orange_pos_001741_20260510_221900_214.png
22,1742,20260510_221902_127,33.469,160,120,data/frames/orange_pos_01/orange_pos_001742_20260510_221902_127.png
23,1743,20260510_221906_537,37.875,160,120,data/frames/orange_pos_01/orange_pos_001743_20260510_221906_537.png
24,1744,20260510_221906_910,38.281,160,120,data/frames/orange_pos_01/orange_pos_001744_20260510_221906_910.png
25,1745,20260510_221908_669,40.078,160,120,data/frames/orange_pos_01/orange_pos_001745_20260510_221908_669.png
26,1746,20260510_221909_099,40.438,160,120,data/frames/orange_pos_01/orange_pos_001746_20260510_221909_099.png
27,1747,20260510_221911_220,42.563,160,120,data/frames/orange_pos_01/orange_pos_001747_20260510_221911_220.png
28,1748,20260510_221911_582,42.906,160,120,data/frames/orange_pos_01/orange_pos_001748_20260510_221911_582.png
29,1749,20260510_221913_289,44.641,160,120,data/frames/orange_pos_01/orange_pos_001749_20260510_221913_289.png
30,1750,20260510_221913_704,45.063,160,120,data/frames/orange_pos_01/orange_pos_001750_20260510_221913_704.png
31,1751,20260510_221917_803,49.141,160,120,data/frames/orange_pos_01/orange_pos_001751_20260510_221917_803.png
32,1752,20260510_221918_181,49.547,160,120,data/frames/orange_pos_01/orange_pos_001752_20260510_221918_181.png
33,1753,20260510_221920_182,51.547,160,120,data/frames/orange_pos_01/orange_pos_001753_20260510_221920_182.png
34,1754,20260510_221920_576,51.938,160,120,data/frames/orange_pos_01/orange_pos_001754_20260510_221920_576.png
35,1755,20260510_221924_595,55.922,160,120,data/frames/orange_pos_01/orange_pos_001755_20260510_221924_595.png
36,1756,20260510_221926_486,57.828,160,120,data/frames/orange_pos_01/orange_pos_001756_20260510_221926_486.png
37,1757,20260510_221927_060,58.391,160,120,data/frames/orange_pos_01/orange_pos_001757_20260510_221927_060.png
38,1758,20260510_221928_932,60.266,160,120,data/frames/orange_pos_01/orange_pos_001758_20260510_221928_932.png
39,1759,20260510_221929_320,60.641,160,120,data/frames/orange_pos_01/orange_pos_001759_20260510_221929_320.png
40,1760,20260510_221935_932,67.281,160,120,data/frames/orange_pos_01/orange_pos_001760_20260510_221935_932.png
41,1761,20260510_221937_976,69.422,160,120,data/frames/orange_pos_01/orange_pos_001761_20260510_221937_976.png
42,1762,20260510_221938_464,69.797,160,120,data/frames/orange_pos_01/orange_pos_001762_20260510_221938_464.png
43,1763,20260510_221939_926,71.328,160,120,data/frames/orange_pos_01/orange_pos_001763_20260510_221939_926.png
44,1765,20260510_221940_344,71.781,160,120,data/frames/orange_pos_01/orange_pos_001765_20260510_221940_344.png
45,1766,20260510_221942_574,73.985,160,120,data/frames/orange_pos_01/orange_pos_001766_20260510_221942_574.png
46,1767,20260510_221946_684,77.969,160,120,data/frames/orange_pos_01/orange_pos_001767_20260510_221946_684.png
47,1768,20260510_221951_198,82.578,160,120,data/frames/orange_pos_01/orange_pos_001768_20260510_221951_198.png
48,1769,20260510_221953_428,84.813,160,120,data/frames/orange_pos_01/orange_pos_001769_20260510_221953_428.png
49,1770,20260510_221958_140,89.485,160,120,data/frames/orange_pos_01/orange_pos_001770_20260510_221958_140.png
50,1771,20260510_222000_112,91.516,160,120,data/frames/orange_pos_01/orange_pos_001771_20260510_222000_112.png
51,1772,20260510_222002_339,93.766,160,120,data/frames/orange_pos_01/orange_pos_001772_20260510_222002_339.png
52,1773,20260510_222004_679,96.078,160,120,data/frames/orange_pos_01/orange_pos_001773_20260510_222004_679.png
53,1774,20260510_222006_931,98.297,160,120,data/frames/orange_pos_01/orange_pos_001774_20260510_222006_931.png
54,1775,20260510_222007_324,98.703,160,120,data/frames/orange_pos_01/orange_pos_001775_20260510_222007_324.png
55,1776,20260510_222008_885,100.266,160,120,data/frames/orange_pos_01/orange_pos_001776_20260510_222008_885.png
56,1777,20260510_222011_111,102.610,160,120,data/frames/orange_pos_01/orange_pos_001777_20260510_222011_111.png
57,1778,20260510_222011_634,103.000,160,120,data/frames/orange_pos_01/orange_pos_001778_20260510_222011_634.png
58,1779,20260510_222013_184,104.547,160,120,data/frames/orange_pos_01/orange_pos_001779_20260510_222013_184.png
59,1780,20260510_222013_799,105.156,160,120,data/frames/orange_pos_01/orange_pos_001780_20260510_222013_799.png
60,1781,20260510_222015_650,107.172,160,120,data/frames/orange_pos_01/orange_pos_001781_20260510_222015_650.png
61,1782,20260510_222016_282,108.156,160,120,data/frames/orange_pos_01/orange_pos_001782_20260510_222016_282.png
62,1783,20260510_222017_862,109.922,160,120,data/frames/orange_pos_01/orange_pos_001783_20260510_222017_862.png
63,1784,20260510_222020_536,111.922,160,120,data/frames/orange_pos_01/orange_pos_001784_20260510_222020_536.png
64,1785,20260510_222022_080,113.406,160,120,data/frames/orange_pos_01/orange_pos_001785_20260510_222022_080.png
65,1786,20260510_222024_444,115.797,160,120,data/frames/orange_pos_01/orange_pos_001786_20260510_222024_444.png
66,1787,20260510_222026_813,118.250,160,120,data/frames/orange_pos_01/orange_pos_001787_20260510_222026_813.png
67,1788,20260510_222027_266,118.625,160,120,data/frames/orange_pos_01/orange_pos_001788_20260510_222027_266.png
1,1814,20260510_222111_582,0.281,160,120,data/frames/orange_pos_01/orange_pos_001814_20260510_222111_582.png
2,1815,20260510_222113_511,2.188,160,120,data/frames/orange_pos_01/orange_pos_001815_20260510_222113_511.png
3,1816,20260510_222115_654,4.406,160,120,data/frames/orange_pos_01/orange_pos_001816_20260510_222115_654.png
4,1817,20260510_222117_790,6.453,160,120,data/frames/orange_pos_01/orange_pos_001817_20260510_222117_790.png
5,1818,20260510_222118_144,6.813,160,120,data/frames/orange_pos_01/orange_pos_001818_20260510_222118_144.png
6,1819,20260510_222118_504,7.188,160,120,data/frames/orange_pos_01/orange_pos_001819_20260510_222118_504.png
7,1820,20260510_222122_210,10.891,160,120,data/frames/orange_pos_01/orange_pos_001820_20260510_222122_210.png
8,1821,20260510_222122_570,11.203,160,120,data/frames/orange_pos_01/orange_pos_001821_20260510_222122_570.png
9,1822,20260510_222124_669,13.375,160,120,data/frames/orange_pos_01/orange_pos_001822_20260510_222124_669.png
10,1823,20260510_222126_647,15.313,160,120,data/frames/orange_pos_01/orange_pos_001823_20260510_222126_647.png
11,1825,20260510_222131_615,20.281,160,120,data/frames/orange_pos_01/orange_pos_001825_20260510_222131_615.png
12,1826,20260510_222133_351,22.047,160,120,data/frames/orange_pos_01/orange_pos_001826_20260510_222133_351.png
13,1827,20260510_222133_734,22.406,160,120,data/frames/orange_pos_01/orange_pos_001827_20260510_222133_734.png
14,1828,20260510_222137_822,26.547,160,120,data/frames/orange_pos_01/orange_pos_001828_20260510_222137_822.png
15,1829,20260510_222138_352,27.156,160,120,data/frames/orange_pos_01/orange_pos_001829_20260510_222138_352.png
16,1830,20260510_222139_969,28.625,160,120,data/frames/orange_pos_01/orange_pos_001830_20260510_222139_969.png
17,1831,20260510_222142_395,31.063,160,120,data/frames/orange_pos_01/orange_pos_001831_20260510_222142_395.png
18,1833,20260510_222142_751,31.359,160,120,data/frames/orange_pos_01/orange_pos_001833_20260510_222142_751.png
19,1834,20260510_222144_439,33.063,160,120,data/frames/orange_pos_01/orange_pos_001834_20260510_222144_439.png
20,1835,20260510_222144_981,33.672,160,120,data/frames/orange_pos_01/orange_pos_001835_20260510_222144_981.png
21,1836,20260510_222146_926,35.563,160,120,data/frames/orange_pos_01/orange_pos_001836_20260510_222146_926.png
22,1837,20260510_222147_283,35.984,160,120,data/frames/orange_pos_01/orange_pos_001837_20260510_222147_283.png
23,1838,20260510_222151_756,40.375,160,120,data/frames/orange_pos_01/orange_pos_001838_20260510_222151_756.png
24,1839,20260510_222153_462,42.078,160,120,data/frames/orange_pos_01/orange_pos_001839_20260510_222153_462.png
25,1840,20260510_222153_777,42.391,160,120,data/frames/orange_pos_01/orange_pos_001840_20260510_222153_777.png
26,1841,20260510_222155_910,44.594,160,120,data/frames/orange_pos_01/orange_pos_001841_20260510_222155_910.png
27,1842,20260510_222200_318,48.984,160,120,data/frames/orange_pos_01/orange_pos_001842_20260510_222200_318.png
28,1843,20260510_222202_586,51.250,160,120,data/frames/orange_pos_01/orange_pos_001843_20260510_222202_586.png
29,1844,20260510_222202_944,51.609,160,120,data/frames/orange_pos_01/orange_pos_001844_20260510_222202_944.png
30,1845,20260510_222204_837,53.531,160,120,data/frames/orange_pos_01/orange_pos_001845_20260510_222204_837.png
31,1846,20260510_222205_226,53.891,160,120,data/frames/orange_pos_01/orange_pos_001846_20260510_222205_226.png
32,1847,20260510_222206_892,55.563,160,120,data/frames/orange_pos_01/orange_pos_001847_20260510_222206_892.png
33,1848,20260510_222207_260,55.891,160,120,data/frames/orange_pos_01/orange_pos_001848_20260510_222207_260.png
34,1849,20260510_222209_029,57.641,160,120,data/frames/orange_pos_01/orange_pos_001849_20260510_222209_029.png
35,1850,20260510_222209_542,58.219,160,120,data/frames/orange_pos_01/orange_pos_001850_20260510_222209_542.png
36,1851,20260510_222211_479,60.141,160,120,data/frames/orange_pos_01/orange_pos_001851_20260510_222211_479.png
37,1852,20260510_222211_840,60.453,160,120,data/frames/orange_pos_01/orange_pos_001852_20260510_222211_840.png
38,1853,20260510_222213_503,62.188,160,120,data/frames/orange_pos_01/orange_pos_001853_20260510_222213_503.png
39,1854,20260510_222215_966,64.594,160,120,data/frames/orange_pos_01/orange_pos_001854_20260510_222215_966.png
40,1855,20260510_222216_333,64.969,160,120,data/frames/orange_pos_01/orange_pos_001855_20260510_222216_333.png
41,1856,20260510_222217_878,66.563,160,120,data/frames/orange_pos_01/orange_pos_001856_20260510_222217_878.png
42,1857,20260510_222218_310,66.984,160,120,data/frames/orange_pos_01/orange_pos_001857_20260510_222218_310.png
43,1858,20260510_222220_228,68.906,160,120,data/frames/orange_pos_01/orange_pos_001858_20260510_222220_228.png
44,1859,20260510_222220_602,69.219,160,120,data/frames/orange_pos_01/orange_pos_001859_20260510_222220_602.png
45,1860,20260510_222222_440,71.063,160,120,data/frames/orange_pos_01/orange_pos_001860_20260510_222222_440.png
46,1862,20260510_222222_752,71.422,160,120,data/frames/orange_pos_01/orange_pos_001862_20260510_222222_752.png
47,1863,20260510_222224_689,73.375,160,120,data/frames/orange_pos_01/orange_pos_001863_20260510_222224_689.png
48,1864,20260510_222225_064,73.750,160,120,data/frames/orange_pos_01/orange_pos_001864_20260510_222225_064.png
49,1865,20260510_222226_997,75.672,160,120,data/frames/orange_pos_01/orange_pos_001865_20260510_222226_997.png
50,1866,20260510_222227_362,76.047,160,120,data/frames/orange_pos_01/orange_pos_001866_20260510_222227_362.png
51,1867,20260510_222229_080,77.734,160,120,data/frames/orange_pos_01/orange_pos_001867_20260510_222229_080.png
52,1869,20260510_222229_433,78.109,160,120,data/frames/orange_pos_01/orange_pos_001869_20260510_222229_433.png
53,1870,20260510_222231_225,79.922,160,120,data/frames/orange_pos_01/orange_pos_001870_20260510_222231_225.png
54,1871,20260510_222231_612,80.297,160,120,data/frames/orange_pos_01/orange_pos_001871_20260510_222231_612.png
55,1872,20260510_222235_727,84.391,160,120,data/frames/orange_pos_01/orange_pos_001872_20260510_222235_727.png
56,1873,20260510_222237_827,86.453,160,120,data/frames/orange_pos_01/orange_pos_001873_20260510_222237_827.png
57,1874,20260510_222238_138,86.813,160,120,data/frames/orange_pos_01/orange_pos_001874_20260510_222238_138.png
58,1875,20260510_222240_280,88.953,160,120,data/frames/orange_pos_01/orange_pos_001875_20260510_222240_280.png
59,1876,20260510_222240_662,89.359,160,120,data/frames/orange_pos_01/orange_pos_001876_20260510_222240_662.png
60,1877,20260510_222242_652,91.297,160,120,data/frames/orange_pos_01/orange_pos_001877_20260510_222242_652.png
61,1878,20260510_222246_774,95.406,160,120,data/frames/orange_pos_01/orange_pos_001878_20260510_222246_774.png
62,1879,20260510_222249_578,98.250,160,120,data/frames/orange_pos_01/orange_pos_001879_20260510_222249_578.png
63,1880,20260510_222251_521,100.203,160,120,data/frames/orange_pos_01/orange_pos_001880_20260510_222251_521.png
64,1881,20260510_222253_511,102.172,160,120,data/frames/orange_pos_01/orange_pos_001881_20260510_222253_511.png
65,1882,20260510_222253_869,102.578,160,120,data/frames/orange_pos_01/orange_pos_001882_20260510_222253_869.png
66,1883,20260510_222256_096,104.766,160,120,data/frames/orange_pos_01/orange_pos_001883_20260510_222256_096.png
67,1884,20260510_222258_014,106.688,160,120,data/frames/orange_pos_01/orange_pos_001884_20260510_222258_014.png
68,1885,20260510_222302_880,111.516,160,120,data/frames/orange_pos_01/orange_pos_001885_20260510_222302_880.png
69,1886,20260510_222304_562,113.250,160,120,data/frames/orange_pos_01/orange_pos_001886_20260510_222304_562.png
70,1887,20260510_222305_152,113.891,160,120,data/frames/orange_pos_01/orange_pos_001887_20260510_222305_152.png
71,1888,20260510_222306_925,115.625,160,120,data/frames/orange_pos_01/orange_pos_001888_20260510_222306_925.png
72,1889,20260510_222307_314,115.938,160,120,data/frames/orange_pos_01/orange_pos_001889_20260510_222307_314.png
73,1890,20260510_222309_253,117.938,160,120,data/frames/orange_pos_01/orange_pos_001890_20260510_222309_253.png
74,1891,20260510_222309_626,118.234,160,120,data/frames/orange_pos_01/orange_pos_001891_20260510_222309_626.png
1,1967,20260510_222452_238,0.234,160,120,data/frames/orange_pos_01/orange_pos_001967_20260510_222452_238.png
2,1968,20260510_222453_758,1.703,160,120,data/frames/orange_pos_01/orange_pos_001968_20260510_222453_758.png
3,1970,20260510_222454_067,2.016,160,120,data/frames/orange_pos_01/orange_pos_001970_20260510_222454_067.png
4,1971,20260510_222455_961,3.969,160,120,data/frames/orange_pos_01/orange_pos_001971_20260510_222455_961.png
5,1972,20260510_222458_375,6.375,160,120,data/frames/orange_pos_01/orange_pos_001972_20260510_222458_375.png
6,1973,20260510_222458_729,6.719,160,120,data/frames/orange_pos_01/orange_pos_001973_20260510_222458_729.png
7,1974,20260510_222500_420,8.359,160,120,data/frames/orange_pos_01/orange_pos_001974_20260510_222500_420.png
8,1975,20260510_222502_574,10.687,160,120,data/frames/orange_pos_01/orange_pos_001975_20260510_222502_574.png
9,1976,20260510_222503_096,11.109,160,120,data/frames/orange_pos_01/orange_pos_001976_20260510_222503_096.png
10,1977,20260510_222505_306,13.297,160,120,data/frames/orange_pos_01/orange_pos_001977_20260510_222505_306.png
11,1978,20260510_222507_067,15.094,160,120,data/frames/orange_pos_01/orange_pos_001978_20260510_222507_067.png
12,1979,20260510_222507_485,15.469,160,120,data/frames/orange_pos_01/orange_pos_001979_20260510_222507_485.png
13,1980,20260510_222509_275,17.281,160,120,data/frames/orange_pos_01/orange_pos_001980_20260510_222509_275.png
14,1981,20260510_222509_673,17.766,160,120,data/frames/orange_pos_01/orange_pos_001981_20260510_222509_673.png
15,1983,20260510_222511_612,19.672,160,120,data/frames/orange_pos_01/orange_pos_001983_20260510_222511_612.png
16,1984,20260510_222516_515,24.516,160,120,data/frames/orange_pos_01/orange_pos_001984_20260510_222516_515.png
17,1985,20260510_222518_679,26.672,160,120,data/frames/orange_pos_01/orange_pos_001985_20260510_222518_679.png
18,1986,20260510_222522_638,30.625,160,120,data/frames/orange_pos_01/orange_pos_001986_20260510_222522_638.png
19,1987,20260510_222524_915,32.969,160,120,data/frames/orange_pos_01/orange_pos_001987_20260510_222524_915.png
20,1989,20260510_222525_325,33.266,160,120,data/frames/orange_pos_01/orange_pos_001989_20260510_222525_325.png
21,1990,20260510_222527_213,35.266,160,120,data/frames/orange_pos_01/orange_pos_001990_20260510_222527_213.png
22,1991,20260510_222529_204,37.141,160,120,data/frames/orange_pos_01/orange_pos_001991_20260510_222529_204.png
23,1992,20260510_222529_734,37.687,160,120,data/frames/orange_pos_01/orange_pos_001992_20260510_222529_734.png
24,1993,20260510_222531_599,39.578,160,120,data/frames/orange_pos_01/orange_pos_001993_20260510_222531_599.png
25,1994,20260510_222532_048,40.109,160,120,data/frames/orange_pos_01/orange_pos_001994_20260510_222532_048.png
26,1995,20260510_222536_069,44.062,160,120,data/frames/orange_pos_01/orange_pos_001995_20260510_222536_069.png
27,1996,20260510_222536_422,44.437,160,120,data/frames/orange_pos_01/orange_pos_001996_20260510_222536_422.png
28,1997,20260510_222538_328,46.281,160,120,data/frames/orange_pos_01/orange_pos_001997_20260510_222538_328.png
29,1998,20260510_222538_652,46.609,160,120,data/frames/orange_pos_01/orange_pos_001998_20260510_222538_652.png
30,1999,20260510_222540_787,48.797,160,120,data/frames/orange_pos_01/orange_pos_001999_20260510_222540_787.png
31,2000,20260510_222543_185,51.141,160,120,data/frames/orange_pos_01/orange_pos_002000_20260510_222543_185.png
32,2001,20260510_222544_832,52.844,160,120,data/frames/orange_pos_01/orange_pos_002001_20260510_222544_832.png
33,2002,20260510_222547_463,55.453,160,120,data/frames/orange_pos_01/orange_pos_002002_20260510_222547_463.png
34,2003,20260510_222549_695,57.703,160,120,data/frames/orange_pos_01/orange_pos_002003_20260510_222549_695.png
35,2004,20260510_222551_900,59.844,160,120,data/frames/orange_pos_01/orange_pos_002004_20260510_222551_900.png
36,2005,20260510_222553_864,61.812,160,120,data/frames/orange_pos_01/orange_pos_002005_20260510_222553_864.png
37,2006,20260510_222554_172,62.187,160,120,data/frames/orange_pos_01/orange_pos_002006_20260510_222554_172.png
38,2007,20260510_222556_132,64.141,160,120,data/frames/orange_pos_01/orange_pos_002007_20260510_222556_132.png
39,2008,20260510_222556_504,64.484,160,120,data/frames/orange_pos_01/orange_pos_002008_20260510_222556_504.png
40,2009,20260510_222558_297,66.328,160,120,data/frames/orange_pos_01/orange_pos_002009_20260510_222558_297.png
41,2010,20260510_222600_518,68.547,160,120,data/frames/orange_pos_01/orange_pos_002010_20260510_222600_518.png
42,2011,20260510_222602_882,70.875,160,120,data/frames/orange_pos_01/orange_pos_002011_20260510_222602_882.png
43,2012,20260510_222609_254,77.250,160,120,data/frames/orange_pos_01/orange_pos_002012_20260510_222609_254.png
44,2013,20260510_222609_608,77.609,160,120,data/frames/orange_pos_01/orange_pos_002013_20260510_222609_608.png
45,2014,20260510_222609_968,77.984,160,120,data/frames/orange_pos_01/orange_pos_002014_20260510_222609_968.png
46,2015,20260510_222613_702,81.734,160,120,data/frames/orange_pos_01/orange_pos_002015_20260510_222613_702.png
47,2016,20260510_222616_016,84.062,160,120,data/frames/orange_pos_01/orange_pos_002016_20260510_222616_016.png
48,2017,20260510_222616_421,84.437,160,120,data/frames/orange_pos_01/orange_pos_002017_20260510_222616_421.png
49,2018,20260510_222618_466,86.469,160,120,data/frames/orange_pos_01/orange_pos_002018_20260510_222618_466.png
50,2019,20260510_222620_619,88.625,160,120,data/frames/orange_pos_01/orange_pos_002019_20260510_222620_619.png
51,2020,20260510_222620_998,89.000,160,120,data/frames/orange_pos_01/orange_pos_002020_20260510_222620_998.png
52,2021,20260510_222622_768,90.828,160,120,data/frames/orange_pos_01/orange_pos_002021_20260510_222622_768.png
53,2023,20260510_222623_196,91.203,160,120,data/frames/orange_pos_01/orange_pos_002023_20260510_222623_196.png
54,2024,20260510_222625_359,93.453,160,120,data/frames/orange_pos_01/orange_pos_002024_20260510_222625_359.png
55,2025,20260510_222627_209,95.344,160,120,data/frames/orange_pos_01/orange_pos_002025_20260510_222627_209.png
56,2026,20260510_222629_816,97.953,160,120,data/frames/orange_pos_01/orange_pos_002026_20260510_222629_816.png
57,2027,20260510_222631_878,99.875,160,120,data/frames/orange_pos_01/orange_pos_002027_20260510_222631_878.png
58,2028,20260510_222634_254,102.328,160,120,data/frames/orange_pos_01/orange_pos_002028_20260510_222634_254.png
59,2029,20260510_222636_335,104.328,160,120,data/frames/orange_pos_01/orange_pos_002029_20260510_222636_335.png
60,2030,20260510_222636_695,104.703,160,120,data/frames/orange_pos_01/orange_pos_002030_20260510_222636_695.png
61,2031,20260510_222638_190,106.203,160,120,data/frames/orange_pos_01/orange_pos_002031_20260510_222638_190.png
62,2033,20260510_222640_889,108.875,160,120,data/frames/orange_pos_01/orange_pos_002033_20260510_222640_889.png
63,2034,20260510_222642_840,110.859,160,120,data/frames/orange_pos_01/orange_pos_002034_20260510_222642_840.png
64,2035,20260510_222643_217,111.250,160,120,data/frames/orange_pos_01/orange_pos_002035_20260510_222643_217.png
65,2036,20260510_222645_071,113.062,160,120,data/frames/orange_pos_01/orange_pos_002036_20260510_222645_071.png
66,2037,20260510_222645_441,113.437,160,120,data/frames/orange_pos_01/orange_pos_002037_20260510_222645_441.png
67,2038,20260510_222647_668,115.719,160,120,data/frames/orange_pos_01/orange_pos_002038_20260510_222647_668.png
68,2039,20260510_222649_719,117.734,160,120,data/frames/orange_pos_01/orange_pos_002039_20260510_222649_719.png
69,2040,20260510_222650_094,118.094,160,120,data/frames/orange_pos_01/orange_pos_002040_20260510_222650_094.png
