VIA_394 (1.096010e-01, 1.597660e-01) VIA_396 (1.112520e-01, 1.588770e-01) at Inner1_3
VIA_348 (1.069340e-01, 1.694180e-01) VIA_352 (1.076960e-01, 1.687830e-01) at Inner2_5
VIA_348 (1.069340e-01, 1.694180e-01) VIA_352 (1.076960e-01, 1.687830e-01) between Inner1_3 and Inner2_5
VIA_348 (1.069340e-01, 1.694180e-01) VIA_352 (1.076960e-01, 1.687830e-01) at Inner1_3
VIA_346 (1.048980e-01, 1.556613e-01) VIA_347 (1.056640e-01, 1.556613e-01) at Inner1_3
VIA_339 (8.933716e-02, 1.476448e-01) VIA_341 (9.042400e-02, 1.475740e-01) at Inner2_5
VIA_339 (8.933716e-02, 1.476448e-01) VIA_341 (9.042400e-02, 1.475740e-01) between Inner1_3 and Inner2_5
VIA_339 (8.933716e-02, 1.476448e-01) VIA_341 (9.042400e-02, 1.475740e-01) at Inner1_3
VIA_332 (9.410700e-02, 1.501140e-01) VIA_334 (9.486900e-02, 1.498180e-01) at Inner2_5
VIA_332 (9.410700e-02, 1.501140e-01) VIA_334 (9.486900e-02, 1.498180e-01) between Inner1_3 and Inner2_5
VIA_332 (9.410700e-02, 1.501140e-01) VIA_334 (9.486900e-02, 1.498180e-01) at Inner1_3
VIA_319 (1.041400e-01, 1.581150e-01) VIA_321 (1.056640e-01, 1.581150e-01) at Inner2_5
VIA_319 (1.041400e-01, 1.581150e-01) VIA_321 (1.056640e-01, 1.581150e-01) between Inner1_3 and Inner2_5
VIA_319 (1.041400e-01, 1.581150e-01) VIA_321 (1.056640e-01, 1.581150e-01) at Inner1_3
VIA_315 (1.017270e-01, 1.581150e-01) VIA_317 (1.024890e-01, 1.581150e-01) at Inner2_5
VIA_315 (1.017270e-01, 1.581150e-01) VIA_317 (1.024890e-01, 1.581150e-01) between Inner1_3 and Inner2_5
VIA_315 (1.017270e-01, 1.581150e-01) VIA_317 (1.024890e-01, 1.581150e-01) at Inner1_3
VIA_313 (1.088947e-01, 1.485187e-01) VIA_327 (1.096222e-01, 1.492462e-01) at Inner1_3
VIA_307 (1.080402e-01, 1.484998e-01) VIA_309 (1.090930e-01, 1.466850e-01) at Inner1_3
VIA_2 (1.112520e-01, 1.508760e-01) VIA_3 (1.112503e-01, 1.517633e-01) at Inner2_5
VIA_2 (1.112520e-01, 1.508760e-01) VIA_3 (1.112503e-01, 1.517633e-01) between Inner1_3 and Inner2_5
VIA_2 (1.112520e-01, 1.508760e-01) VIA_3 (1.112503e-01, 1.517633e-01) at Inner1_3
